batch_id,order,phase,unit_count,unit_ids,dependency_batches,gate_type,parallel_group,entry_criteria,exit_criteria,regression_scope,boundary_test_scope
B3-A,11,heuristic-foundation,8,HEUR-001|HEUR-002|HEUR-004|HEUR-006|HEUR-008|HEUR-011|HEUR-020|HEUR-022,B2-B,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B2-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B3-A内8个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有HEUR定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖HEUR-001|HEUR-002|HEUR-004|HEUR-006|HEUR-008|HEUR-011|HEUR-020|HEUR-022；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B3-B,12,heuristic-decision,10,HEUR-003|HEUR-005|HEUR-014|HEUR-007|HEUR-009|HEUR-010|HEUR-012|HEUR-017|HEUR-021|HEUR-023,B3-A,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B3-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B3-B内10个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有HEUR定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖HEUR-003|HEUR-005|HEUR-014|HEUR-007|HEUR-009|HEUR-010|HEUR-012|HEUR-017|HEUR-021|HEUR-023；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B4-A,13,model-inference-engineering,2,MODEL-002|MODEL-003,B2-B|B3-A,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B2-B|B3-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B4-A内2个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有MODEL定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖MODEL-002|MODEL-003；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B3-C,14,heuristic-risk-sequence,4,HEUR-013|HEUR-015|HEUR-016|HEUR-018,B3-B|B4-A,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B3-B|B4-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B3-C内4个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有HEUR定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖HEUR-013|HEUR-015|HEUR-016|HEUR-018；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B5-A,15,training-contracts,4,TRAIN-001|TRAIN-002|TRAIN-004|TRAIN-005,B2-B,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B2-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B5-A内4个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有TRAIN定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖TRAIN-001|TRAIN-002|TRAIN-004|TRAIN-005；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B4-A2,16,trainable-policy-contract,1,MODEL-004,B5-A,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B5-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B4-A2内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有MODEL定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖MODEL-004；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B5-B,17,training-environment,2,TRAIN-006|TRAIN-009,B5-A,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B5-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B5-B内2个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有TRAIN定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖TRAIN-006|TRAIN-009；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B5-C,18,training-self-play,1,TRAIN-007,B5-B,dependency,P3,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B5-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B5-C内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有TRAIN定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖TRAIN-007；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B6-A,19,audit-runtime,6,AUDIT-001|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-006|AUDIT-007,B2-B,dependency,P2,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B2-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B6-A内6个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有AUDIT定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖AUDIT-001|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-006|AUDIT-007；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B6-B,20,audit-trace-release,6,AUDIT-010|AUDIT-008|AUDIT-009|AUDIT-011|AUDIT-013|AUDIT-014,B6-A|B5-B,dependency,P3,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B6-A|B5-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B6-B内6个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有AUDIT定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖AUDIT-008|AUDIT-009|AUDIT-014；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B5-DATA,21,offline-training-data,1,TRAIN-008,B6-B|B5-A,dependency,P3,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B6-B|B5-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B5-DATA内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有TRAIN定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖TRAIN-008；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B4-B,22,model-lifecycle,1,MODEL-005,B4-A2|B5-DATA|B6-B,external,P3,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；所需冻结数据/模型/评价发布已到位并通过schema、来源、许可和泄漏预检,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B4-B内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有MODEL定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖MODEL-005；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B6-C,23,external-effect-evaluation,1,AUDIT-012,B4-B|B5-C|B6-B,external,P4,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；所需冻结数据/模型/评价发布已到位并通过schema、来源、许可和泄漏预检,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B6-C内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有AUDIT定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖AUDIT-012；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
