parameter_id,parameter_name,parameter_kind,effect_step_category,scope,lifecycle_or_update,visibility,consumer_unit_ids
GP-011,番型目录,全局配置 GP,番型识别与结算,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-012,番型关系,全局配置 GP,番型识别与结算,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-013,番数和封顶配置,全局配置 GP,番型识别与结算,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-014,自摸结算配置,全局配置 GP,胡牌计分,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-015,杠分配置,全局配置 GP,杠牌计分,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-016,呼叫转移配置,全局配置 GP,呼叫转移结算,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-017,查花猪配置,全局配置 GP,终局花猪结算,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-018,查大叫配置,全局配置 GP,终局查大叫,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-019,退税配置,全局配置 GP,终局退税,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-020,庄家配置,全局配置 GP,庄家与座位管理,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-011|HEUR-013|HEUR-015|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-001|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-003|STATE-004|STATE-008|STATE-010|TRAIN-002
GP-021,信息可见性配置,全局配置 GP,PlayerView构建与信息隔离,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|ALGO-010|AUDIT-001|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|HEUR-019|HEUR-020|MODEL-001|MODEL-002|RULE-001|RULE-015|RULE-016|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-005|STATE-008|STATE-010
GP-022,时间控制配置,全局配置 GP,决策时间控制与超时回退,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-023,AI玩家基础档案,全局配置 GP,玩家初始化与人格策略,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-001|HEUR-003|HEUR-004|HEUR-005|HEUR-012|HEUR-015|HEUR-019|HEUR-020|HEUR-021|HEUR-022|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-001|RULE-007|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-009|STATE-010
GP-024,记忆与学习配置,全局配置 GP,认知记忆与跨局学习,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-001|HEUR-003|HEUR-004|HEUR-005|HEUR-015|HEUR-017|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-022|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-009|STATE-010|STATE-012
GP-025,人类化行为配置,全局配置 GP,候选评价与人类化选择,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-001|HEUR-003|HEUR-004|HEUR-005|HEUR-015|HEUR-017|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-022|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-009|STATE-010|STATE-012
GP-026,有限认知配置,全局配置 GP,有限注意、搜索与思考节奏,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-001|HEUR-003|HEUR-004|HEUR-005|HEUR-015|HEUR-017|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-022|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-009|STATE-010|STATE-012
GP-027,收益与比赛目标配置,全局配置 GP,比分、名次与整场效用,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|ALGO-008|ALGO-009|AUDIT-002|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-004|HEUR-005|HEUR-008|HEUR-015|HEUR-019|HEUR-020|HEUR-021|HEUR-022|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-009|STATE-010
RP-001,本局标识,运行态 RP,本局初始化与审计标识,round_dynamic,开局创建,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-002|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-002,座位与庄家状态,运行态 RP,本局初始化与座位管理,round_dynamic,开局创建，胡牌后更新轮转,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-002|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-003,当前比分与本局目标,运行态 RP,整场比分到本局目标转换,round_dynamic,开局创建，计分事件后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-002|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-002|HEUR-004|HEUR-005|HEUR-007|HEUR-014|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-003|RULE-004|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-004,初始手牌,运行态 RP,发牌后初始分析,round_dynamic,发牌后固定记录,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-002|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-002|HEUR-004|HEUR-005|HEUR-007|HEUR-014|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-005,换三张状态,运行态 RP,换三张决策与执行,round_dynamic,换牌阶段更新后固定,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-002|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-002|HEUR-004|HEUR-005|HEUR-007|HEUR-014|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-006,四家定缺状态,运行态 RP,定缺决策与清缺约束,round_dynamic,定缺后固定，清缺进度动态更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-007,当前手牌,运行态 RP,摸牌、出牌与手牌分析,round_dynamic,摸牌、出牌、碰杠后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-008,公开组合状态,运行态 RP,碰杠后公开组合更新,round_dynamic,任一玩家碰杠后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-009,弃牌历史,运行态 RP,弃牌事件与行为序列更新,round_dynamic,每次出牌后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-010,可见牌统计,运行态 RP,可见牌聚合与活牌估计,round_dynamic,公开牌变化后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-011,牌墙与轮次状态,运行态 RP,牌墙推进与阶段判断,round_dynamic,每次摸牌、杠后补牌后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
RP-012,存活玩家与胡牌状态,运行态 RP,血战胡后状态与终止判断,round_dynamic,任一玩家胡牌后更新,权威状态；仅经GP-021和PlayerView白名单按座位/阶段投影,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-007|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-013|HEUR-004|HEUR-005|HEUR-006|HEUR-007|HEUR-015|HEUR-016|HEUR-018|HEUR-019|HEUR-020|HEUR-021|HEUR-023|MODEL-001|MODEL-002|MODEL-003|RULE-005|STATE-001|STATE-002|STATE-003|STATE-004|STATE-005|STATE-006|STATE-010
