unit_id,unit_name,unit_type,parameter_count,global_config_parameters,runtime_parameters,ui_note
RULE-011,过胡设置、持续与恢复,确定规则,19,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-012,强制胡与最后阶段必胡,确定规则,19,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-013,多人响应确定性优先级,确定规则,28,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-014,血战胡后退出、继续与终止,确定规则,21,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-018 听牌与活牌状态 | RP-021 剩余机会状态,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-015,启用番型、互斥/叠加与封顶规则,确定规则,27,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-016,局中与终局公开信息范围,确定规则,2,GP-021 信息可见性配置,RP-031 终局公开信息,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-001,face/physical tile 编码、投影与所有权守恒,确定算法,60,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-002,手牌分解、向听、弃牌向听与等待形状,确定算法,4,NONE,RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-019 对手推测状态,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-003,去重可见牌与未见牌聚合,确定算法,60,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-004,墙内活牌区间或估计,确定算法,60,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-005,逐座剩余摸牌机会估计,确定算法,60,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-006,mandatory 分类、候选上限与稳定排序,确定算法,60,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-007,六分量候选 Q 评价,确定算法,39,GP-021 信息可见性配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-008,seed、噪声、思考时间与随机流确定派生,确定算法,38,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-009,配置类型/范围/版本校验、迁移与 canonical hash,确定算法,27,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-010,PlayerView 白名单构建,确定算法,1,GP-021 信息可见性配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
ALGO-011,game_id 到牌墙、骰子及子随机流的确定映射,确定算法,0,NONE,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
HEUR-001,换三张候选评价,启发式策略,4,GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
HEUR-002,定缺花色评价,启发式策略,3,NONE,RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
HEUR-003,动态风格调节,启发式策略,27,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
HEUR-004,初始做牌方向形成,启发式策略,38,GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,RP-001 本局标识 | RP-002 座位与庄家状态 | RP-003 当前比分与本局目标 | RP-004 初始手牌 | RP-005 换三张状态 | RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态 | RP-019 对手推测状态 | RP-020 威胁与安全状态 | RP-021 剩余机会状态 | RP-022 牌局阶段 | RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录 | RP-030 本局计分事件 | RP-031 终局公开信息 | RP-032 本局结算结果 | RP-033 跨局学习输出,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
