"新单元ID","名称","类型","一句话目标","来源规则","关联GP_RP","上游依赖","下游消费者","主要输入","主要输出","是否确定性","是否可训练","是否需要随机数","信息可见性等级","开发优先级","当前实现状态"
"RULE-011","过胡设置、持续与恢复","确定规则","在冻结输入和版本下，独立产生「pass-hu state」并通过「恢复模式矩阵」验收。","AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-010|STATE-003","AUDIT-006","declined hu + phase/events","pass-hu state","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-012","强制胡与最后阶段必胡","确定规则","在冻结输入和版本下，独立产生「forced action」并通过「开关及尾牌边界」验收。","AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-010|STATE-011","AUDIT-006","legal hu + GP rule + wall state","forced action","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-013","多人响应确定性优先级","确定规则","在冻结输入和版本下，独立产生「resolved actions」并通过「返回时序置换不变」验收。","AU-031 人类化决策规则：第 7—14 章 / 9.1 响应优先；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-060 程序实现规范：第 0—10 章 / 3.6 Action Resolver；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-008～GP-010、GP-002～GP-020、RP-024～RP-032","RULE-001|RULE-007|RULE-009|RULE-010","TRAIN-007","response set + GP-008","resolved actions","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-014","血战胡后退出、继续与终止","确定规则","在冻结输入和版本下，独立产生「active set/end」并通过「第1/2/3胡与荒牌」验收。","AU-006 人类化决策规则：第 0—6 章 / 3. 定庄与座位；AU-018 人类化决策规则：第 7—14 章 / 7.9 胡牌人数；AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","GP-003、RP-018, RP-021、GP-011～GP-020、GP-002～GP-020","RULE-005|RULE-010|STATE-004","AUDIT-006","hu result + active seats + wall","active set/end","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-015","启用番型、互斥/叠加与封顶规则","确定规则","在冻结输入和版本下，独立产生「applicable fan policy」并通过「配置组合 golden cases」验收。","AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-022 人类化决策规则：第 7—14 章 / 7.14 全番型配置","GP-001～GP-027、GP-011～GP-020","STATE-010","HEUR-011|SCORE-002|SCORE-004|SCORE-005","ruleset + hand facts","applicable fan policy","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-016","局中与终局公开信息范围","确定规则","在冻结输入和版本下，独立产生「visible field set」并通过「白名单/禁止字段矩阵」验收。","AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界","GP-021、GP-021, RP-031","STATE-004|STATE-010","ALGO-010|AUDIT-013|MODEL-003","phase + seat + event","visible field set","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P1","Integrated（历史 EV4/report-only）"
"ALGO-001","face/physical tile 编码、投影与所有权守恒","确定算法","在冻结输入和版本下，独立产生「face views + conservation result」并通过「108 张唯一性和迁移用例」验收。","AU-010 人类化决策规则：第 0—6 章 / 5. 换三张合法性；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-064 程序实现规范：第 0—10 章 / 4.1 牌编码；AU-066 程序实现规范：第 0—10 章 / 4.3 手牌与组合","GP-005, GP-006, RP-001, RP-002、GP-001～GP-027, RP-001～RP-033、RP-003～RP-005、GP-011～GP-020","STATE-011","ALGO-003|AUDIT-005|RULE-002|STATE-003","physical regions","face views + conservation result","是","否","否","配置/引擎私有","P0","Partial（部分实现）"
"ALGO-002","手牌分解、向听、弃牌向听与等待形状","确定算法","在冻结输入和版本下，独立产生「analyses」并通过「标准/七对/特殊边界」验收。","AU-008 人类化决策规则：第 0—6 章 / 4. 初始手牌整理；AU-036 人类化决策规则：第 7—14 章 / 10.1–10.5 出牌；AU-074 程序实现规范：第 0—10 章 / 10.1 手牌分析","RP-003～RP-005、RP-003～RP-005, RP-019","STATE-003","ALGO-007|HEUR-001|HEUR-002|HEUR-004|HEUR-009|HEUR-011|HEUR-012|HEUR-014|RULE-004|RULE-010","concealed faces + melds","analyses","是","否","否","座位可见","P1","Partial（部分实现）"
"ALGO-003","去重可见牌与未见牌聚合","确定算法","在冻结输入和版本下，独立产生「visible/unseen counts」并通过「被认领弃牌去重用例」验收。","AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-067 程序实现规范：第 0—10 章 / 4.4 可见牌；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-014～RP-018, RP-021、RP-006～RP-018、GP-001～GP-027, RP-001～RP-033、GP-001～GP-027","STATE-005|ALGO-001","ALGO-004|ALGO-007|HEUR-001|MODEL-001|MODEL-002","PlayerView","visible/unseen counts","是","否","否","座位可见","P2","Partial（部分实现）"
"ALGO-004","墙内活牌区间或估计","确定算法","在冻结输入和版本下，独立产生「live estimate」并通过「上下界、归一与极端状态」验收。","AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-014～RP-018, RP-021、RP-006～RP-018、GP-001～GP-027, RP-001～RP-033、GP-001～GP-027","ALGO-003|STATE-011","MODEL-002","unseen + public allocations","live estimate","是","否","否","座位可见","P2","Partial（部分实现）"
"ALGO-005","逐座剩余摸牌机会估计","确定算法","在冻结输入和版本下，独立产生「draw interval」并通过「碰杠胡后重算」验收。","AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-030 人类化决策规则：第 7—14 章 / 8.9 剩余机会；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-014～RP-018, RP-021、RP-018, RP-021、GP-001～GP-027, RP-001～RP-033、GP-021, RP-001～RP-023","RULE-005|STATE-011","ALGO-007|HEUR-009","active order + wall + response assumptions","draw interval","是","否","否","座位可见","P3","Partial（部分实现）"
"ALGO-006","mandatory 分类、候选上限与稳定排序","确定算法","在冻结输入和版本下，独立产生「mandatory/candidate set」并通过「唯一动作、强制项不裁剪」验收。","AU-001 人类化决策规则：第 0—6 章 / 0. 范围与合法性优先；AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-002, GP-008～GP-010、RP-023～RP-029、GP-001～GP-027, RP-001～RP-033、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","RULE-001|STATE-009","HEUR-021|HEUR-023|STATE-012","legal actions + context","mandatory/candidate set","是","否","否","座位可见","P0","Partial（部分实现）"
"ALGO-007","六分量候选 Q 评价","确定算法","在冻结输入和版本下，独立产生「Q components/total」并通过「分量、范围、权重与 tie-break」验收。","AU-049 人类化决策规则：第 15—18 章与参数 / 18. Q 评价；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","GP-025, RP-019～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029、GP-021, RP-001～RP-023","ALGO-002|ALGO-003|ALGO-005|STATE-010","AUDIT-002|HEUR-010|HEUR-021|HEUR-023","normalized features + weights","Q components/total","是","否","否","座位可见","P2","Partial（部分实现）"
"ALGO-008","seed、噪声、思考时间与随机流确定派生","确定算法","在冻结输入和版本下，独立产生「reproducible samples」并通过「跨进程/hash-seed 重现」验收。","AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-084 程序实现规范：第 11—19 章 / 12.3 确定性回放","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-019～RP-029、GP-001～GP-027","ALGO-011|STATE-009","AUDIT-004|HEUR-017|HEUR-023","game_id/seat/decision/config","reproducible samples","是","否","是（必须使用命名随机流）","配置/引擎私有","P1","Partial（部分实现）"
"ALGO-009","配置类型/范围/版本校验、迁移与 canonical hash","确定算法","在冻结输入和版本下，独立产生「frozen config/hash or explicit error」并通过「旧版迁移与未知组合拒绝」验收。","AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-045 人类化决策规则：第 15—18 章与参数 / 17. GP 注册；AU-048 人类化决策规则：第 15—18 章与参数 / 18. 数值校验；AU-051 程序实现规范：第 0—10 章 / 0–1. 版本与源绑定；AU-069 程序实现规范：第 0—10 章 / 5. 配置模型；AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001～GP-027、GP-001","STATE-010","AUDIT-011|RULE-001|STATE-001|STATE-007","raw config","frozen config/hash or explicit error","是","否","否","配置/引擎私有","P0","Partial（部分实现）"
"ALGO-010","PlayerView 白名单构建","确定算法","在冻结输入和版本下，独立产生「PlayerView」并通过「隐藏字段不存在及冻结」验收。","AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-058 程序实现规范：第 0—10 章 / 3.4 Player View","GP-021","RULE-016|STATE-002","AUDIT-013|STATE-005|TRAIN-002","authoritative state + seat + phase","PlayerView","是","否","否","座位可见","P1","Tested（历史 EV3/report-only）"
"ALGO-011","game_id 到牌墙、骰子及子随机流的确定映射","确定算法","在冻结输入和版本下，独立产生「named RNG streams」并通过「同 ID 同流、域隔离（新增）」验收。","实现规范 §12.3；规则文档 §14.10–14.11","无直接登记","STATE-010","ALGO-008|AUDIT-007|STATE-001|STATE-011|TRAIN-009","game_id + versions","named RNG streams","是","否","是（必须使用命名随机流）","配置/引擎私有","P0","Specified（新增边界，尚未独立验收）"
"HEUR-001","换三张候选评价","启发式策略","在冻结输入和版本下，独立产生「ranked triples」并通过「强结构保护与送牌敏感场景」验收。","AU-011 人类化决策规则：第 0—6 章 / 5. 换牌策略","GP-023～GP-026","RULE-002|ALGO-002|ALGO-003","AUDIT-006","legal triples + hand/public features","ranked triples","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P3","Partial（部分实现）"
"HEUR-002","定缺花色评价","启发式策略","在冻结输入和版本下，独立产生「ranked suits」并通过「0张、少而散、清一色反例」验收。","AU-012 人类化决策规则：第 0—6 章 / 6. 定缺选择","RP-003～RP-005","RULE-003|ALGO-002","AUDIT-006","hand structure + public context","ranked suits","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-003","动态风格调节","启发式策略","在冻结输入和版本下，独立产生「effective style knobs」并通过「保守/激进方向效应」验收。","AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-005 人类化决策规则：第 0—6 章 / 2. 风格动态变化；AU-020 人类化决策规则：第 7—14 章 / 7.11 玩家风格/水平","GP-001～GP-027、GP-023～GP-027、GP-023～GP-026","STATE-001|STATE-010|HEUR-022","AUDIT-006","profile + score/stage/hand","effective style knobs","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-004","初始做牌方向形成","启发式策略","在冻结输入和版本下，独立产生「primary/backup direction」并通过「不同牌型初始场景」验收。","AU-008 人类化决策规则：第 0—6 章 / 4. 初始手牌整理；AU-014 人类化决策规则：第 7—14 章 / 7.1 做牌方向；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy","RP-003～RP-005、RP-019, RP-020、GP-023～GP-027, RP-001～RP-033","ALGO-002|HEUR-022","HEUR-005","initial analysis + profile","primary/backup direction","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-005","主备计划生命周期","启发式策略","在冻结输入和版本下，独立产生「retain/switch/restart」并通过「惯性、阈值与可推翻性」验收。","AU-009 人类化决策规则：第 0—6 章 / 4. 初步计划可修正；AU-014 人类化决策规则：第 7—14 章 / 7.1 做牌方向；AU-017 人类化决策规则：第 7—14 章 / 7.4–7.8 动态调整；AU-025 人类化决策规则：第 7—14 章 / 7.17 主/备计划；AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy","RP-019, RP-020、RP-006～RP-020、RP-023～RP-029、GP-023～GP-027, RP-001～RP-033","HEUR-004|STATE-006","HEUR-010|HEUR-014","observations + current plan","retain/switch/restart","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-006","定缺花色环境评估","启发式策略","在冻结输入和版本下，独立产生「suit environment」并通过「四家组合表」验收。","AU-015 人类化决策规则：第 7—14 章 / 7.2 花色环境","RP-006～RP-018","STATE-005","HEUR-007","all public dingque/melds","suit environment","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P3","Partial（部分实现）"
"HEUR-007","公开事件驱动的逐家方向更新","启发式策略","在冻结输入和版本下，独立产生「heuristic direction evidence」并通过「事件序列差分」验收。","AU-017 人类化决策规则：第 7—14 章 / 7.4–7.8 动态调整；AU-026 人类化决策规则：第 7—14 章 / 8.1–8.4 算牌顺序","RP-006～RP-020、RP-003～RP-021","HEUR-006|STATE-005|MODEL-001","AUDIT-006","prior hypotheses + events","heuristic direction evidence","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-008","整场比分与剩余局效用调节","启发式策略","在冻结输入和版本下，独立产生「match utility modifiers」并通过「领先/落后/末局」验收。","AU-019 人类化决策规则：第 7—14 章 / 7.10 比分/剩余局","GP-027, RP-022","STATE-001|SCORE-006","HEUR-009|HEUR-010","standings + rounds left","match utility modifiers","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P3","Partial（部分实现）"
"HEUR-009","先胡、做大和血战顺序效用","启发式策略","在冻结输入和版本下，独立产生「speed/value preference」并通过「第几胡收益场景」验收。","AU-018 人类化决策规则：第 7—14 章 / 7.9 胡牌人数；AU-024 人类化决策规则：第 7—14 章 / 7.16 先胡/顺序","RP-018, RP-021、RP-022, RP-023","ALGO-002|ALGO-005|HEUR-008","AUDIT-006","hu order + hand value + risk","speed/value preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-010","多目标冲突复核","启发式策略","在冻结输入和版本下，独立产生「resolved preference」并通过「冲突权重与持续复核」验收。","AU-021 人类化决策规则：第 7—14 章 / 7.12–7.13 冲突与复核","RP-019, RP-020, RP-024～RP-029","ALGO-007|HEUR-005|HEUR-008","AUDIT-006","speed/fan/risk/plan/match signals","resolved preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-011","番型边际做牌价值","启发式策略","在冻结输入和版本下，独立产生「marginal value」并通过「封顶前后与互斥」验收。","AU-022 人类化决策规则：第 7—14 章 / 7.14 全番型配置","GP-011～GP-020","RULE-015|ALGO-002","AUDIT-006","enabled fan policy + hand path","marginal value","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P1","Partial（部分实现）"
"HEUR-012","碰牌策略评价","启发式策略","在冻结输入和版本下，独立产生「accept/pass score」并通过「速度、暴露、后续弃牌」验收。","AU-034 人类化决策规则：第 7—14 章 / 9.4 碰牌响应","GP-008, GP-023","RULE-007|ALGO-002","AUDIT-006","legal peng + structure/exposure/turn","accept/pass score","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-013","杠牌策略评价","启发式策略","在冻结输入和版本下，独立产生「accept/pass score」并通过「明暗补杠风险」验收。","AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应","GP-014～GP-020","RULE-008|RULE-009|SCORE-003|MODEL-002","AUDIT-006","legal gang + score/risk/rob context","accept/pass score","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-014","出牌牌效与结构保留策略","启发式策略","在冻结输入和版本下，独立产生「strategic rank」并通过「清缺、听前/听后、拆搭」验收。","AU-036 人类化决策规则：第 7—14 章 / 10.1–10.5 出牌","RP-003～RP-005, RP-019","RULE-003|ALGO-002|HEUR-005","AUDIT-006","analyzed hand + legal discards","strategic rank","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P3","Partial（部分实现）"
"HEUR-015","防守偏好与安全牌选择","启发式策略","在冻结输入和版本下，独立产生「defensive rank」并通过「多家风险与安全牌」验收。","AU-037 人类化决策规则：第 7—14 章 / 10.6 防守风险；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-018、GP-001～GP-027","MODEL-002|HEUR-022","HEUR-018","per-seat risk + loss + profile","defensive rank","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-016","行为序列推断","启发式策略","在冻结输入和版本下，独立产生「behavioral cues」并通过「顺序变化与阶段对照」验收。","AU-028 人类化决策规则：第 7—14 章 / 8.6–8.7 行为序列/反观察","RP-006～RP-017","STATE-005|HEUR-020","HEUR-018","ordered public actions","behavioral cues","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Specified（仅规格）"
"HEUR-017","思考节奏生成","启发式策略","在冻结输入和版本下，独立产生「planned think time」并通过「范围、复现、无真实 sleep 契约」验收。","AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现","GP-024～GP-026, RP-024～RP-029","STATE-009|ALGO-008|HEUR-022","AUDIT-006","complexity + profile + deadline","planned think time","是（给定版本与 seed）","否","是（必须使用命名随机流）","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-018","安全牌储备、扣牌与信息表达","启发式策略","在冻结输入和版本下，独立产生「retention preference」并通过「一阶与二阶行为场景」验收。","AU-028 人类化决策规则：第 7—14 章 / 8.6–8.7 行为序列/反观察；AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现","RP-006～RP-017、GP-024～GP-026, RP-024～RP-029","HEUR-015|HEUR-016","AUDIT-006","hand/public threats/self exposure","retention preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Specified（仅规格）"
"HEUR-019","Top-K 有限注意分配","启发式策略","在冻结输入和版本下，独立产生「attended items」并通过「mandatory 进入、容量与稳定性」验收。","AU-026 人类化决策规则：第 7—14 章 / 8.1–8.4 算牌顺序；AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-003～RP-021、GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029、GP-021, RP-001～RP-023","STATE-006|STATE-009","HEUR-021","visible cues + capacity","attended items","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"HEUR-020","有界记忆衰减与强化","启发式策略","在冻结输入和版本下，独立产生「memory snapshot」并通过「衰减、显著强化、不精确恢复」验收。","AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-027 人类化决策规则：第 7—14 章 / 8.5 有限记忆；AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-001～RP-033、GP-024, RP-024、GP-011～GP-020、GP-023～GP-027, RP-024～RP-033、GP-023～GP-027, RP-001～RP-033、GP-021, RP-001～RP-023","STATE-006|STATE-005","HEUR-016|MODEL-001|MODEL-003","visible events + memory config","memory snapshot","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-021","有限推演与满意停止","启发式策略","在冻结输入和版本下，独立产生「checked set/stop reason」并通过「深度、预算、停止条件」验收。","AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","ALGO-006|ALGO-007|HEUR-019","AUDIT-006","candidates + budget/threshold","checked set/stop reason","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
