"legacy_id","legacy_name","decision","new_unit_ids","reason"
"AU-017","动态调整","MERGE","HEUR-005|HEUR-007","计划重启归入 HEUR-005，公开事件驱动的对手方向调整归入 HEUR-007。"
"AU-018","胡牌人数","SPLIT","RULE-014|HEUR-009","活动座位更新是规则；第几胡速度/收益权衡是启发式。"
"AU-019","比分与剩余局","RENAME","HEUR-008","更名为整场比分与剩余局效用调节。"
"AU-020","玩家风格与水平","SPLIT","HEUR-003|HEUR-022","动态风格调节和稳定人格/水平参数消费分别验收。"
"AU-021","冲突与复核","RENAME","HEUR-010","更名为多目标冲突复核启发式。"
"AU-022","全番型配置","SPLIT","RULE-015|HEUR-011","启用/互斥/封顶是规则，边际做牌价值是策略启发式。"
"AU-023","活牌与摸牌机会","SPLIT","ALGO-003|ALGO-004|ALGO-005","可见牌聚合、墙内活牌估计和剩余摸牌次数是三种输入输出不同的算法。"
"AU-024","先胡与顺序","RENAME","HEUR-009","更名为先胡/做大/血战顺序效用。"
"AU-025","主/备计划","KEEP","HEUR-005","已有单一计划生命周期职责，可独立场景测试；吸收相邻重复项。"
"AU-026","算牌顺序","SPLIT","HEUR-007|HEUR-019","对手证据更新顺序与有限注意分配不是同一职责。"
"AU-027","有限记忆","KEEP","HEUR-020","衰减、强化与不可无因恢复属于同一有界记忆契约。"
"AU-028","行为序列与反观察","SPLIT","HEUR-016|HEUR-018","一阶行为序列推断与二阶反观察/信息表达需要独立证据。"
"AU-029","局中/终局信息边界","SPLIT","RULE-016|AUDIT-001|AUDIT-002","信息可见规则与事件/决策历史不可变审计是不同层。"
"AU-030","剩余机会","RENAME","ALGO-005","更名为逐座剩余摸牌机会估计，明确算法输入输出。"
"AU-031","响应优先","SPLIT","RULE-001|RULE-013","合法动作权威与多人响应解析优先级分别验收。"
"AU-032","胡牌响应","SPLIT","RULE-010|RULE-011|RULE-012","胡资格、过胡生命周期和强制胡是三个必须分别验收的规则。"
"AU-033","杠牌响应","SPLIT","RULE-008|RULE-009|SCORE-003|HEUR-013","杠类型、抢杠、杠分和是否杠的风险判断跨规则/计分/启发式。"
"AU-034","碰牌响应","SPLIT","RULE-007|HEUR-012","碰牌合法状态转换与碰牌策略评价分开。"
"AU-035","摸牌后判断","SPLIT","RULE-006|ALGO-006|HEUR-005","摸后状态转换、强制候选排序和计划更新可独立失败。"
"AU-036","出牌管线","SPLIT","ALGO-002|HEUR-014","确定性牌效计算与人类化弃牌评价分离。"
"AU-037","防守风险","SPLIT","MODEL-002|HEUR-015","逐家风险概率模型与风险偏好/安全牌选择启发式不能混验。"
"AU-038","人类表现","SPLIT","HEUR-017|HEUR-018|HEUR-023|AUDIT-002","节奏、扣牌/表达、近似失误和理由记录是四个独立职责。"
"AU-039","胡后处理","SPLIT","RULE-014|HEUR-020|SCORE-006","退出摸打、继续公开观察和整场比分结算跨规则/认知/计分。"
"AU-040","终局计分","SPLIT","SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006","胡分、杠分、终局调整、封顶转移顺序及总排名必须分别验收。"
"AU-041","玩家模型","SPLIT","HEUR-022|HEUR-020|MODEL-003|AUDIT-002","人格、记忆、局间学习和解释审计具有不同方法类别。"
"AU-042","有限认知","SPLIT","HEUR-019|HEUR-021|HEUR-023|ALGO-008|STATE-012","注意、有限搜索/满意停止、近似失误、可复现噪声和超时回退应分别验收。"
"AU-043","总体流程","MERGE","STATE-004|AUDIT-008","总体流程不是单一实现单元；状态机由 STATE-004 承担，端到端对照由 AUDIT-008 承担。"
"AU-044","阶段边界","REMOVE","","这是范围/路线声明，不产生独立运行输入输出；保留在治理文档而非功能目录。"
"AU-045","GP 注册","MERGE","STATE-010|ALGO-009","GP 字段注册与 RP 注册合为配置生命周期，值校验/hash 归入算法。"
"AU-046","RP 注册","RENAME","STATE-010","更名为 GP/RP 注册与生命周期，吸收 AU-045 的重复注册职责。"
"AU-047","RP-033 学习输出","RENAME","MODEL-003","更名为公开信息跨局对手画像更新模型。"
"AU-048","数值校验","SPLIT","ALGO-009|AUDIT-011","运行配置校验与发布版本兼容证据分离。"
"AU-049","六项 Q 评价","RENAME","ALGO-007","更名为候选行动六分量 Q 评价算法。"
"AU-050","概率约束","SPLIT","ALGO-003|ALGO-004|MODEL-001|MODEL-002","未见牌、活牌、对手假设和风险概率各有独立分母与验收。"
"AU-051","版本与源绑定","SPLIT","ALGO-009|AUDIT-011","加载时版本拒绝与发布物源绑定记录分离。"
"AU-052","冲突裁决","RENAME","RULE-001","更名为规则/配置/不变量裁决优先级，作为合法性权威的一部分。"
"AU-053","IR-001～018","SPLIT","ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|AUDIT-005","18 个不变量不能作为一个验收单元，分派到实体牌、计数、机会、候选和强制断言。"
"AU-054","九模块架构","RENAME","AUDIT-013","架构本身不是运行功能，更名为模块依赖与接口边界契约审计。"
"AU-055","Match Controller","SPLIT","STATE-001|STATE-008|SCORE-006","配置冻结/整场控制、跨局状态和比分排名分别验收。"
"AU-056","Rule Engine","SPLIT","RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014","Rule Engine 是模块容器，不是独立功能；拆为可观察的规则状态转换。"
"AU-057","State Store","KEEP","STATE-002","完整权威状态保存与授权读取是单一职责。"
"AU-058","Player View","SPLIT","ALGO-010|STATE-005","视图白名单构建与不可变状态载体分开。"
"AU-059","Humanlike Policy","SPLIT","HEUR-004|HEUR-005|HEUR-019|HEUR-020|HEUR-021|HEUR-023|ALGO-006|ALGO-007|MODEL-001|MODEL-002","整条策略管线跨算法、启发式和概率模型，不能整体通过。"
"AU-060","Action Resolver","RENAME","RULE-013","更名为多人响应确定性解析规则。"
"AU-061","Scoring","SPLIT","SCORE-002|SCORE-003|SCORE-004|SCORE-005","计分引擎按胡分、杠分、终局调整和顺序拆分。"
"AU-062","Replay/Audit","SPLIT","AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004","事件日志、决策日志、哈希完整性和确定性回放是四种证据。"
"AU-063","Training Wrapper","SPLIT","TRAIN-001|TRAIN-007","生产引擎复用与多智能体/自博弈是独立能力。"
"AU-064","牌编码","RENAME","ALGO-001","更名为牌面/实体编码与所有权守恒算法。"
"AU-065","玩家与活动顺序","RENAME","RULE-005","更名为座位、庄家与活动顺序规则。"
"AU-066","手牌与组合","SPLIT","STATE-003|ALGO-001","玩家手牌状态与实体牌投影/守恒算法分开。"
"AU-067","可见牌","KEEP","ALGO-003","实体去重后的可见牌聚合是单一确定性算法。"
"AU-068","计分对象","RENAME","SCORE-001","更名为计分账本分层与守恒。"
"AU-069","配置模型","SPLIT","STATE-010|ALGO-009","配置字段生命周期与校验/hash 算法分开。"
"AU-070","Round/Player/View 状态","SPLIT","STATE-002|STATE-003|STATE-005|STATE-006|STATE-010","Round、Player、View、认知和参数状态具有不同所有者与生命周期。"
"AU-071","状态机与事件","SPLIT","STATE-004|AUDIT-001|AUDIT-005","状态转换、事件记录和事件后断言分开。"
"AU-072","合法行动与解析","SPLIT","RULE-003|RULE-004|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013","不同动作和过胡/强制胡包含多个独立状态转换。"
"AU-073","AI 决策管线","SPLIT","STATE-009|ALGO-006|ALGO-007|ALGO-008|HEUR-019|HEUR-021|HEUR-023","decision context 生命周期、mandatory、评分、噪声、注意、满意停止和近似选择需独立验收。"
"AU-074","手牌分析","RENAME","ALGO-002","更名为手牌分解、向听与等待形状算法。"
"AU-075","信念与风险","SPLIT","ALGO-003|ALGO-004|MODEL-001|MODEL-002|HEUR-015","确定性计数、概率信念、风险模型和防守偏好不能混验。"
"AU-076","注意/记忆/摸牌/Q","SPLIT","HEUR-019|HEUR-020|ALGO-005|ALGO-007","四项具备不同状态和输出，必须拆分。"
"AU-077","训练模式","SPLIT","TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009|MODEL-004|MODEL-005","规则对局、多智能体、离线训练、域随机化及模型生命周期分别验收。"
"AU-078","观测空间","KEEP","TRAIN-002","观测编码契约具有明确输入输出和独立测试。"
"AU-079","动作空间","SPLIT","TRAIN-003|TRAIN-004","固定 codec/mask 与非法动作处理是两个契约。"
"AU-080","奖励","KEEP","TRAIN-005","真实得分与可见势能的分离属于一个奖励契约。"
"AU-081","Episode","SPLIT","TRAIN-006|STATE-008","单局 episode API 与跨局合法状态继承分开。"
"AU-082","事件日志","SPLIT","AUDIT-001|AUDIT-003","事件内容契约与哈希链完整性分开。"
"AU-083","AI 决策日志","SPLIT","AUDIT-002|AUDIT-003|AUDIT-014","决策字段内容、防篡改链与敏感证据保留/新鲜度管理分开。"
"AU-084","确定性回放","SPLIT","AUDIT-004|ALGO-008","回放验证与确定性随机源派生分别验收。"
"AU-085","核心接口","MERGE","AUDIT-013","接口清晰度与 AU-054/AU-093 的模块边界属于同一个架构契约审计。"
"AU-086","训练接口","SPLIT","TRAIN-006|TRAIN-007","单 learner reset/step/clone/restore 与多玩家 ActionMap 分开。"
"AU-087","每事件断言","SPLIT","AUDIT-005|RULE-003|RULE-004|RULE-005|SCORE-001","统一断言执行器与其覆盖的具体规则/账本断言分开。"
"AU-088","单元测试清单","MERGE","AUDIT-006","测试名称清单不作为功能单元，合并为直接规则测试证据门禁。"
"AU-089","属性测试","KEEP","AUDIT-007","生成、缩减与不变量验证可形成独立证据产物。"
"AU-090","章节对照测试","RENAME","AUDIT-008","更名为锁定来源逐章 golden-case 对照。"
"AU-091","回归指标","SPLIT","AUDIT-009|AUDIT-012","工程回归与外部真人/强度效果评估证据等级不同。"
"AU-092","源规则追踪","KEEP","AUDIT-010","来源→参数→实现→测试追踪具有独立产物和验收标准。"
"AU-093","项目结构","MERGE","AUDIT-013","与九模块架构和核心接口合并为架构依赖契约。"
"AU-094","实施顺序","REMOVE","","这是开发计划约束，不是运行能力或可独立验收的产品单元。"
"AU-095","版本与兼容","SPLIT","ALGO-009|STATE-007|AUDIT-011","配置校验、存档 schema 迁移和发布包完整性分别验收。"
"AU-096","完成定义","REMOVE","","这是所有 hard 断言的聚合发布判定，不能作为独立单元并用一次测试通过。"
"ADD-001","牌墙构建与初始发牌","ADD","STATE-011","锁定实现规范要求牌墙、发牌和实体牌初始所有权，但96行只有牌编码/守恒，没有独立发牌状态转换单元。"
"ADD-002","game_id随机流派生","ADD","ALGO-011","可复现要求依赖game_id到牌墙/骰子/策略随机流的确定映射，96行只在综合项中出现。"
"ADD-003","策略超时与崩溃回退","ADD","STATE-012","规则文档14.11要求超时与默认动作，96行混在有限认知中，缺少独立失败状态契约。"
"ADD-004","训练模型生命周期","ADD","MODEL-005","实现规范包含训练/冻结/评估阶段，但96行把模型训练混入训练模式，缺少模型产物版本与冻结验收单元。"
