unit_id,unit_name,category,current_status,completion_path,planned_batch,batch_order,dependencies,satisfied_dependencies,unmet_dependencies,queue_gate,model001_external_gate_blocks_unit,spec_reference
AUDIT-005,每事件强制不变量执行,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,ALGO-001|RULE-001|SCORE-001|STATE-004,ALGO-001|SCORE-001|STATE-004,RULE-001,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-006,直接规则与接口测试证据门禁,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,AUDIT-005,,AUDIT-005,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-007,属性式生成、缩减与不变量证据,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,ALGO-011|AUDIT-005,ALGO-011,AUDIT-005,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-008,锁定来源逐章 golden-case 对照,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,AUDIT-006|AUDIT-010,,AUDIT-006|AUDIT-010,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-009,工程与行为回归指标,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,AUDIT-004|TRAIN-006,,AUDIT-004|TRAIN-006,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-010,来源→参数→实现→测试全链追踪,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,,,,DESIGN_REVIEW_READY,false,03-unit-specs/audit_specs.md
AUDIT-011,版本、迁移与发布物完整性,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,ALGO-009|AUDIT-006|AUDIT-010|STATE-007,ALGO-009,AUDIT-006|AUDIT-010|STATE-007,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-012,强度、真人相似和学习效果外部评价,AUDIT,PARTIAL,PATH-EXTERNAL-DATA,B6-C,23,AUDIT-009|AUDIT-014|MODEL-005,,AUDIT-009|AUDIT-014|MODEL-005,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-013,模块依赖、接口与信息流架构契约,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,ALGO-010|RULE-016|TRAIN-001,ALGO-010|RULE-016,TRAIN-001,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-014,证据数据保留、脱敏与新鲜度管理,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-B,20,AUDIT-001|AUDIT-002,,AUDIT-001|AUDIT-002,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
HEUR-001,换三张候选评价,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,ALGO-002|ALGO-003|RULE-002,,ALGO-002|ALGO-003|RULE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-002,定缺花色评价,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,ALGO-002|RULE-003,RULE-003,ALGO-002,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-003,动态风格调节,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,HEUR-022|STATE-001|STATE-010,STATE-001|STATE-010,HEUR-022,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-004,初始做牌方向形成,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,ALGO-002|HEUR-022,,ALGO-002|HEUR-022,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-005,主备计划生命周期,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,HEUR-004|STATE-006,,HEUR-004|STATE-006,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-006,定缺花色环境评估,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,STATE-005,STATE-005,,DESIGN_REVIEW_READY,false,03-unit-specs/human_heuristic_specs.md
HEUR-007,公开事件驱动的逐家方向更新,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,HEUR-006|MODEL-001|STATE-005,STATE-005,HEUR-006|MODEL-001,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-008,整场比分与剩余局效用调节,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,SCORE-006|STATE-001,STATE-001,SCORE-006,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-009,先胡、做大和血战顺序效用,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-002|ALGO-005|HEUR-008,,ALGO-002|ALGO-005|HEUR-008,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-010,多目标冲突复核,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-007|HEUR-005|HEUR-008,,ALGO-007|HEUR-005|HEUR-008,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-011,番型边际做牌价值,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,ALGO-002|RULE-015,,ALGO-002|RULE-015,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-012,碰牌策略评价,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-002|RULE-007,,ALGO-002|RULE-007,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-013,杠牌策略评价,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-C,14,MODEL-002|RULE-008|RULE-009|SCORE-003,,MODEL-002|RULE-008|RULE-009|SCORE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-014,出牌牌效与结构保留策略,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-002|HEUR-005|RULE-003,RULE-003,ALGO-002|HEUR-005,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-015,防守偏好与安全牌选择,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-C,14,HEUR-022|MODEL-002,,HEUR-022|MODEL-002,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-016,行为序列推断,HEUR,SCAFFOLDED,PATH-FULL-IMPLEMENTATION,B3-C,14,HEUR-020|STATE-005,STATE-005,HEUR-020,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-017,思考节奏生成,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-008|HEUR-022|STATE-009,,ALGO-008|HEUR-022|STATE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-018,安全牌储备、扣牌与信息表达,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-C,14,HEUR-015|HEUR-016,,HEUR-015|HEUR-016,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-020,有界记忆衰减与强化,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,STATE-005|STATE-006,STATE-005,STATE-006,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-021,有限推演与满意停止,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-006|ALGO-007|HEUR-019,HEUR-019,ALGO-006|ALGO-007,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-022,人格、水平与情绪状态消费,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-A,11,STATE-006|STATE-010,STATE-010,STATE-006,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
HEUR-023,有界近似选择与人类失误,HEUR,PARTIAL,PATH-SEMANTIC-COMPLETION,B3-B,12,ALGO-006|ALGO-007|ALGO-008|HEUR-022,,ALGO-006|ALGO-007|ALGO-008|HEUR-022,DEPENDENCY_BLOCKED,false,03-unit-specs/human_heuristic_specs.md
MODEL-001,逐对手归一化方向/牌型假设,MODEL,INTEGRATED,PATH-EXTERNAL-DATA,B4-DATA-MODEL001,2,ALGO-003|HEUR-020|STATE-005,STATE-005,ALGO-003|HEUR-020,EXTERNAL_DATA_GATE,true,03-unit-specs/probabilistic_model_specs.md
MODEL-002,逐对手听牌/等待/损失风险模型,MODEL,PARTIAL,PATH-SEMANTIC-COMPLETION,B4-A,13,ALGO-003|ALGO-004|MODEL-001,,ALGO-003|ALGO-004|MODEL-001,DEPENDENCY_BLOCKED,false,03-unit-specs/probabilistic_model_specs.md
MODEL-003,仅公开信息的跨局对手画像学习,MODEL,PARTIAL,PATH-SEMANTIC-COMPLETION,B4-A,13,HEUR-020|RULE-016|STATE-008,RULE-016,HEUR-020|STATE-008,DEPENDENCY_BLOCKED,false,03-unit-specs/probabilistic_model_specs.md
MODEL-004,可训练策略输入输出契约,MODEL,PARTIAL,PATH-SEMANTIC-COMPLETION,B4-A2,16,TRAIN-002|TRAIN-003,TRAIN-003,TRAIN-002,DEPENDENCY_BLOCKED,false,03-unit-specs/probabilistic_model_specs.md
MODEL-005,训练模型产物版本、冻结和评估生命周期,MODEL,PARTIAL,PATH-EXTERNAL-DATA,B4-B,22,AUDIT-011|MODEL-004|TRAIN-008,,AUDIT-011|MODEL-004|TRAIN-008,DEPENDENCY_BLOCKED,false,03-unit-specs/probabilistic_model_specs.md
RULE-001,规则、参数、不变量与合法性裁决优先级,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C1,5,ALGO-009|STATE-002|STATE-010,ALGO-009|STATE-010,STATE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-002,换三张同花色、方向与提交合法性,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C1,5,ALGO-001|STATE-003|STATE-011,ALGO-001|STATE-011,STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-004,定缺、死叫与胡牌资格约束,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,ALGO-002|STATE-003,,ALGO-002|STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-005,座位、庄家与活动顺序,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C1,5,STATE-002,,STATE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-006,摸牌、可选响应与出牌标准顺序,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C1,5,STATE-004|STATE-011,STATE-004|STATE-011,,DESIGN_REVIEW_READY,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-007,碰牌资格、执行与后续出牌,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,RULE-001|STATE-003,,RULE-001|STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-008,明杠、暗杠与补杠资格及执行,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,RULE-001|STATE-003|STATE-011,STATE-011,RULE-001|STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-009,补杠抢杠胡窗口与解析,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C3,8,RULE-008|RULE-010,,RULE-008|RULE-010,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-010,自摸、点炮与抢杠胡资格,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,ALGO-002|RULE-001|STATE-003,,ALGO-002|RULE-001|STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-011,过胡设置、持续与恢复,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,RULE-010|STATE-003,,RULE-010|STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-012,强制胡与最后阶段必胡,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C2,7,RULE-010|STATE-011,STATE-011,RULE-010,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-013,多人响应确定性优先级,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C3,8,RULE-001|RULE-007|RULE-009|RULE-010,,RULE-001|RULE-007|RULE-009|RULE-010,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-014,血战胡后退出、继续与终止,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C3,8,RULE-005|RULE-010|STATE-004,STATE-004,RULE-005|RULE-010,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
RULE-015,启用番型、互斥/叠加与封顶规则,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C1,5,STATE-010,STATE-010,,DESIGN_REVIEW_READY,false,03-unit-specs/deterministic_rule_state_specs.md
SCORE-002,自摸、点炮与抢杠胡计分,SCORE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C3,8,RULE-010|RULE-015|SCORE-001,SCORE-001,RULE-010|RULE-015,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
SCORE-003,明/暗/补杠与呼叫转移计分,SCORE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C3,8,RULE-008|RULE-009|SCORE-001,SCORE-001,RULE-008|RULE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
SCORE-004,花猪、查大叫与退税终局调整,SCORE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C4,9,RULE-004|RULE-015|SCORE-001,SCORE-001,RULE-004|RULE-015,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
SCORE-005,封顶、互斥和转移结算顺序,SCORE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C4,9,RULE-015|SCORE-002|SCORE-003|SCORE-004,,RULE-015|SCORE-002|SCORE-003|SCORE-004,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
SCORE-006,单局总分、整场累计与排名,SCORE,PARTIAL,PATH-SEMANTIC-COMPLETION,B1-C4,9,SCORE-001|SCORE-005|STATE-001,SCORE-001|STATE-001,SCORE-005,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
STATE-002,权威 RoundState 存储与授权访问,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-A1,4,STATE-004|STATE-011,STATE-004|STATE-011,,DESIGN_REVIEW_READY,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-003,PlayerRoundState 手牌、副露、定缺与过胡状态,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-A1,4,ALGO-001|STATE-002,ALGO-001,STATE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-006,策略侧认知运行态初始化与归档,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,STATE-001|STATE-005|STATE-010,STATE-001|STATE-005|STATE-010,,DESIGN_REVIEW_READY,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-007,存档 schema 持久化与迁移,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-009|STATE-002,ALGO-009,STATE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-008,跨局比分、认知和 episode 状态继承,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,SCORE-006|STATE-001|STATE-006,STATE-001,SCORE-006|STATE-006,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-009,决策请求上下文与生命周期,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-A2,6,RULE-001|STATE-004|STATE-005,STATE-004|STATE-005,RULE-001,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
STATE-012,策略超时、崩溃与合法默认动作回退,STATE,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-006|STATE-009,,ALGO-006|STATE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_rule_state_specs.md
TRAIN-001,复用生产规则的训练包装,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-A,15,RULE-001|STATE-001|STATE-004,STATE-001|STATE-004,RULE-001,DEPENDENCY_BLOCKED,false,03-unit-specs/training_environment_specs.md
TRAIN-002,Observation v2 编码,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-A,15,ALGO-010|STATE-005,ALGO-010|STATE-005,,DESIGN_REVIEW_READY,false,03-unit-specs/training_environment_specs.md
TRAIN-004,非法训练动作处理契约,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-A,15,TRAIN-003,TRAIN-003,,DESIGN_REVIEW_READY,false,03-unit-specs/training_environment_specs.md
TRAIN-005,真实得分与可见势能奖励契约,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-A,15,SCORE-001|TRAIN-002,SCORE-001,TRAIN-002,DEPENDENCY_BLOCKED,false,03-unit-specs/training_environment_specs.md
TRAIN-006,单 learner reset/step/mask/clone/restore,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-B,17,TRAIN-001|TRAIN-002|TRAIN-003|TRAIN-005,TRAIN-003,TRAIN-001|TRAIN-002|TRAIN-005,DEPENDENCY_BLOCKED,false,03-unit-specs/training_environment_specs.md
TRAIN-007,多玩家 ActionMap 与自博弈调度,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-C,18,RULE-013|TRAIN-006,,RULE-013|TRAIN-006,DEPENDENCY_BLOCKED,false,03-unit-specs/training_environment_specs.md
TRAIN-008,离线 BC 与回放 RL 数据消费,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-DATA,21,AUDIT-014|TRAIN-002|TRAIN-003,TRAIN-003,AUDIT-014|TRAIN-002,DEPENDENCY_BLOCKED,false,03-unit-specs/training_environment_specs.md
TRAIN-009,房规、profile 与行为域随机化,TRAIN,PARTIAL,PATH-SEMANTIC-COMPLETION,B5-B,17,ALGO-011|STATE-010,ALGO-011|STATE-010,,DESIGN_REVIEW_READY,false,03-unit-specs/training_environment_specs.md
