unit_id,ac_id,input,operation,expected_output,error_code,quantitative_judgment,semantic_delta_refs,test_delta_refs,evidence_delta_refs,allowed_error_codes,approval_status
STATE-002,AC-STATE-002-11,Legacy/Frozen compatibility,Replay legacy v5/current wrappers,Approved legacy output unchanged,documented legacy error,all goldens exact,SEM-STATE-002-08,TEST-STATE-002-03,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-12,100 repeats and fresh processes,Run canonical input,One unique serialization/hash,null,unique_count=1,SEM-STATE-002-08,TEST-STATE-002-04,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-13,Input/container/concurrency permutation,Permute order/schedule,Canonical result unchanged,null,100% permutations equal,SEM-STATE-002-08,TEST-STATE-002-01,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-14,Performance and evidence trace,Measure Locked workload and build E4/E5,P95 within Locked threshold; references resolve,null,ALGO-002 P95<=5ms; STATE units use quoted Locked threshold or decision required,SEM-STATE-002-08,TEST-STATE-002-02,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-003,AC-STATE-003-01,Valid normal request,Invoke production entry,accepted=true and complete typed result,null,100% exact fields,SEM-STATE-003-01,TEST-STATE-003-01,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-02,Minimum/maximum/null/type boundary matrix,Invoke validator,Only Locked-valid boundaries accepted,SCHEMA_INVALID or unit-specific,All matrix rows exact,SEM-STATE-003-02,TEST-STATE-003-02,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-03,Invalid domain invariant,Invoke production entry,result=null; state unchanged,unit-specific invariant code,before_hash==after_hash,SEM-STATE-003-03,TEST-STATE-003-03,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-04,Duplicate same event/pure same input,Run twice,Idempotent original result / byte-identical pure result,null,version adds at most once,SEM-STATE-003-04,TEST-STATE-003-04,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-05,Late event or stale version,Submit stale request,Rejected; no mutation,VERSION_CONFLICT,version/hash unchanged,SEM-STATE-003-05,TEST-STATE-003-01,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-06,Conflicting or unauthorized request,Change payload/actor/capability,Rejected,INVALID_EVENT or UNAUTHORIZED,zero publication,SEM-STATE-003-06,TEST-STATE-003-02,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-07,Injected prepare/compute failure,Fail first internal stage,Rejected with no partial result,INVARIANT_FAILED or DECOMPOSITION_FAILED,all authoritative bytes unchanged,SEM-STATE-003-07,TEST-STATE-003-03,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-08,Injected validate/commit failure,Fail validation/commit,Rejected and exact rollback,INVARIANT_FAILED,outbox count=0,SEM-STATE-003-08,TEST-STATE-003-04,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-09,Production caller integration,Run real upstream->unit->consumer chain,No test-only facade; one committed/returned result,null,call site and artifact hash present,SEM-STATE-003-08,TEST-STATE-003-01,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-10,Hidden-information perturbation,Pair equal-visible inputs,Same policy view/result,null,100% output hashes equal,SEM-STATE-003-08,TEST-STATE-003-02,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-11,Legacy/Frozen compatibility,Replay legacy v5/current wrappers,Approved legacy output unchanged,documented legacy error,all goldens exact,SEM-STATE-003-08,TEST-STATE-003-03,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-12,100 repeats and fresh processes,Run canonical input,One unique serialization/hash,null,unique_count=1,SEM-STATE-003-08,TEST-STATE-003-04,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-13,Input/container/concurrency permutation,Permute order/schedule,Canonical result unchanged,null,100% permutations equal,SEM-STATE-003-08,TEST-STATE-003-01,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
STATE-003,AC-STATE-003-14,Performance and evidence trace,Measure Locked workload and build E4/E5,P95 within Locked threshold; references resolve,null,ALGO-002 P95<=5ms; STATE units use quoted Locked threshold or decision required,SEM-STATE-003-08,TEST-STATE-003-02,EVID-STATE-003-01|EVID-STATE-003-02,PLAYER_NOT_FOUND|DUPLICATE_TILE|INVALID_MELD|INVALID_STATUS|INVALID_HU_ORDER|SCHEMA_INVALID|VERSION_CONFLICT|UNAUTHORIZED|INVARIANT_FAILED,APPROVED
ALGO-002,AC-ALGO-002-01,Valid normal request,Invoke production entry,accepted=true and complete typed result,null,100% exact fields,SEM-ALGO-002-01,TEST-ALGO-002-01,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-02,Minimum/maximum/null/type boundary matrix,Invoke validator,Only Locked-valid boundaries accepted,SCHEMA_INVALID or unit-specific,All matrix rows exact,SEM-ALGO-002-02,TEST-ALGO-002-02,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-03,Invalid domain invariant,Invoke production entry,result=null; state unchanged,unit-specific invariant code,before_hash==after_hash,SEM-ALGO-002-03,TEST-ALGO-002-03,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-04,Duplicate same event/pure same input,Run twice,Idempotent original result / byte-identical pure result,null,version adds at most once,SEM-ALGO-002-04,TEST-ALGO-002-04,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-05,Late event or stale version,Submit stale request,Rejected; no mutation,VERSION_CONFLICT,version/hash unchanged,SEM-ALGO-002-05,TEST-ALGO-002-01,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-06,Conflicting or unauthorized request,Change payload/actor/capability,Rejected,INVALID_EVENT or UNAUTHORIZED,zero publication,SEM-ALGO-002-06,TEST-ALGO-002-02,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-07,Injected prepare/compute failure,Fail first internal stage,Rejected with no partial result,INVARIANT_FAILED or DECOMPOSITION_FAILED,all authoritative bytes unchanged,SEM-ALGO-002-07,TEST-ALGO-002-03,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-08,Injected validate/commit failure,Fail validation/commit,Rejected and exact rollback,INVARIANT_FAILED,outbox count=0,SEM-ALGO-002-08,TEST-ALGO-002-04,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-09,Production caller integration,Run real upstream->unit->consumer chain,No test-only facade; one committed/returned result,null,call site and artifact hash present,SEM-ALGO-002-08,TEST-ALGO-002-01,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-10,Hidden-information perturbation,Pair equal-visible inputs,Same policy view/result,null,100% output hashes equal,SEM-ALGO-002-08,TEST-ALGO-002-02,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-11,Legacy/Frozen compatibility,Replay legacy v5/current wrappers,Approved legacy output unchanged,documented legacy error,all goldens exact,SEM-ALGO-002-08,TEST-ALGO-002-03,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-12,100 repeats and fresh processes,Run canonical input,One unique serialization/hash,null,unique_count=1,SEM-ALGO-002-08,TEST-ALGO-002-04,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-13,Input/container/concurrency permutation,Permute order/schedule,Canonical result unchanged,null,100% permutations equal,SEM-ALGO-002-08,TEST-ALGO-002-01,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
ALGO-002,AC-ALGO-002-14,Performance and evidence trace,Measure Locked workload and build E4/E5,P95 within Locked threshold; references resolve,null,ALGO-002 P95<=5ms; STATE units use quoted Locked threshold or decision required,SEM-ALGO-002-08,TEST-ALGO-002-02,EVID-ALGO-002-01|EVID-ALGO-002-02,HAND_SIZE_INVALID|FACE_COUNT_EXCEEDED|MELD_INVALID|DINGQUE_CONFLICT|DECOMPOSITION_FAILED|SCHEMA_INVALID|VERSION_CONFLICT|NUMERIC_INVARIANT|DETERMINISM_VIOLATION,APPROVED
