parameter_id,parameter_name,data_type,minimum,maximum,options,default_value,null_semantics,scope,locked_range_and_formula,lifecycle,source_chapter,using_units,decision_required
RP-001,本局标识,结构体,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"结构体；`round_index`为1—[GP-003](#gp-003)总局数；事件序号0—1,000,000；开局时\(round\_index=previous\_round+1\)，\(t=0\)；每处理一个原子事件后\(t\leftarrow t+1\)。",开局创建,§17.3+§18.4,STATE-002|STATE-003,false
RP-002,座位与庄家状态,玩家编号0—3,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,玩家编号0—3；活动顺序长度1—4；初始座位由[GP-020](#gp-020)产生。玩家\(p\)胡牌后，\(Active_t=Active_{t-1}\setminus\{p\}\)，下一玩家为当前顺序中下一名仍在\(Active_t\)的玩家。,开局创建，胡牌后更新轮转,§17.3+§18.4,STATE-002|STATE-003,false
RP-003,当前比分与本局目标,四人整数分数,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"四人整数分数；单项-1,000,000,000—1,000,000,000；目标强度0—1；\(Score_t(p)=\operatorname{clip}(Score_{t-1}(p)+\Delta_t(p),-10^9,10^9)\)。分差\(Gap_t(p,q)=Score_t(p)-Score_t(q)\)。求稳或追分强度由分差、剩余局数和[GP-027](#gp-027)目标归一化到0—1。",开局创建，计分事件后更新,§17.3+§18.4,STATE-002|STATE-003|ALGO-002,false
RP-004,初始手牌,27维整数向量,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"27维整数向量；各维0—4；总张数庄家14、闲家13；\(H_0(x)=DealCount(x)\)，并满足\(\sum_xH_0(x)\in\{13,14\}\)。初始结构由[RP-016](#rp-016)的结构函数计算。",发牌后固定记录,§17.3+§18.4,STATE-002|STATE-003|ALGO-002,false
RP-005,换三张状态,换出、换入各3张,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,换出、换入各3张；方向枚举；\(H_{after}(x)=H_{before}(x)-Out(x)+In(x)\)，其中\(\sum_xOut(x)=\sum_xIn(x)=3\)，且换出牌满足[GP-005](#gp-005)的同花色约束。,换牌阶段更新后固定,§17.3+§18.4,STATE-002|STATE-003|ALGO-002,false
RP-006,四家定缺状态,四个花色枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,四个花色枚举；清缺概率0—1；自己清缺为确定布尔值；自己的缺门剩余数\(M_t=\sum_{x\in missingSuit}H_t(x)\)，自己清缺状态\(Cleared_t=I(M_t=0)\)。对手清缺状态只能依据公开弃牌形成置信度，不得使用其隐藏手牌。,定缺后固定，清缺进度动态更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-007,当前手牌,27维整数向量,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,27维整数向量；各维0—4；手牌总数依动作合法变化；\(H_t=H_{t-1}+Draw_t-Discard_t-RemoveToMeld_t\)。碰牌、明杠、暗杠和补杠分别按规则从手牌移入公开或隐藏组合；杠后补牌作为新的\(Draw_t\)事件处理。,摸牌、出牌、碰杠后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-008,公开组合状态,每名玩家公开组合0—4组,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,每名玩家公开组合0—4组；类型枚举；\(Melds_t(p)=Melds_{t-1}(p)\cup NewMeld_t(p)\)。补杠时将对应碰组状态由`peng`替换为`bu_gang`，不得同时保留两个重复组。,任一玩家碰杠后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-009,弃牌历史,事件列表,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"事件列表；长度0—108加杠后动作扩展；\(Discards_t=Discards_{t-1}\mathbin{\Vert}(p,x,t,source,time)\)，其中不可见字段按[GP-021](#gp-021)置为空，而不是填入服务器真实值。",每次出牌后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-010,可见牌统计,27维整数向量,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,27维整数向量；各维0—4；\(V_t(x)=H_t(x)+D_t(x)+OpenMeld_t(x)+PublicHu_t(x)+PublicGang_t(x)\)，重复展示的同一实体牌只计一次。未见上界\(U_t(x)=4-V_t(x)\)。,公开牌变化后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-011,牌墙与轮次状态,牌墙余量0—108,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"牌墙余量0—108；轮次0—1,000,000；估计上下界0—108；精确可见时\(W_t=W_{t-1}-DrawCount_t\)。不可见时维护区间：\(W_t^{min}=W_{t-1}^{min}-MaxDraw_t\)，\(W_t^{max}=W_{t-1}^{max}-MinDraw_t\)，并限制在0—108。",每次摸牌、杠后补牌后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-012,存活玩家与胡牌状态,活动玩家集合大小1—4,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,活动玩家集合大小1—4；胡牌顺序0—3；\(Active_t=Active_{t-1}\setminus Winners_t\)。每名新赢家的胡牌序号为此前已胡人数加1；一炮多响按同一事件记录相同时间但独立序号或平台并列规则。,任一玩家胡牌后更新,§17.3+§18.4,STATE-002|STATE-003,true
RP-013,当前事件,单事件结构体,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"单事件结构体；类型枚举；\(Event_t=(type,actor,tile,source,timestamp,publicPayload)\)。类型只能为`deal`、`exchange`、`dingque`、`draw`、`discard`、`peng`、`gang`、`hu`、`settlement`或平台已注册扩展。",每个操作事件创建,§17.3+§18.4,STATE-002|STATE-003,true
RP-014,合法行动与响应窗口,合法行动集合,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"合法行动集合；大小1—20；截止时间戳；\(Legal_t=RuleEngine(State_t,[GP\text{-}002\ldots GP\text{-}022])\)。候选集必须满足\(Candidates_t\subseteq Legal_t\)。",每次需要决策时创建,§17.3+§18.4,STATE-002|STATE-003,false
RP-015,过胡与权限状态,状态枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,状态枚举；状态为`free`、`passed_hu_locked`、`value_limited`或`forced_hu`。状态转移由[GP-009](#gp-009)定义：过胡事件进入锁定态，规定的自摸或价值变化事件恢复为`free`。,放弃胡牌或恢复事件后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-016,手牌结构状态,结构体,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"结构体；向听数-1—13；组合数0—4；对子数0—7；结构质量0—1；对每个允许牌型\(k\)计算向听数\(S_k(H_t,Melds_t)\)，总体向听\(S_t=\min_k S_k\)。胡牌时\(S_t=-1\)，听牌时\(S_t=0\)。结构质量由有效搭子、对子用途和重叠结构归一化到0—1。",摸打、碰杠、方向变化后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-017,当前做牌计划,方向枚举及置信度0—1,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"方向枚举及置信度0—1；主计划1个；备选计划0—3个；对方向\(d\)：\(C_t(d)=\operatorname{Normalize}((1-\alpha_d)C_{t-1}(d)+\alpha_dE_t(d))\)，\(\alpha_d\in[0,1]\)来自[GP-026](#gp-026)，\(E_t(d)\in[0,1]\)为本轮证据。最高置信方向为主方向，但受规则中的观察、确定和放弃阈值约束。",定缺后创建，每次复核后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-018,听牌与活牌状态,等待集合0—27种,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"等待集合0—27种；单牌未见数0—4；总活牌0—108；概率0—1；对等待牌\(x\)，\(Live_t(x)=\max(0,4-V_t(x))\)。总活牌\(L_t=\sum_{x\in Wait_t}Live_t(x)\)。若\(L_t=0\)，则`dead_wait=true`。下一次从未知牌中获得任一等待牌的近似概率为\(P_{next}=\frac{L_t}{\sum_xU_t(x)}\)。",手牌和可见牌变化后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-019,对手推测状态,每名对手的假设概率分布,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,每名对手的假设概率分布；各概率0—1且和为1；对假设\(h\)和新公开证据\(e_t\)：\(P_t(h)=\frac{P(e_t\mid h)P_{t-1}(h)}{\sum_jP(e_t\mid h_j)P_{t-1}(h_j)+\varepsilon}\)。证据似然只能由公开行为模型产生。,对手公开行为后更新,§17.3+§18.4,STATE-002|STATE-003|ALGO-002,false
RP-020,威胁与安全状态,每名对手、每种牌的风险0—1,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"每名对手、每种牌的风险0—1；综合风险0—1；\(R_t(p,x)=P_t(p\text{已听})\times P_t(x\text{为其等待}\mid p\text{已听})\times LossNorm_t(p)\)。多家综合风险\(R_t(x)=1-\prod_{p\in Active_t,p\ne self}(1-R_t(p,x))\)。",公开信息和局势变化后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-021,剩余机会状态,剩余摸牌次数0—108,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,剩余摸牌次数0—108；时间压力0—1；若轮转稳定，自己的近似剩余摸牌数\(N_t^{self}=\left\lceil\frac{W_t-offset_t}{\lvert Active_t\rvert}\right\rceil\)，其中\(offset_t\)为轮到自己前的活动玩家数。碰杠和胡牌后按新顺序重新计算。时间压力\(Pressure_t=1-\frac{N_t^{self}}{N_{start}^{self}+\varepsilon}\)。,轮次、碰杠、胡牌后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-022,牌局阶段,枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,枚举；阶段强度0—1；剩余比例\(q_t=W_t/W_{start}\)。默认：\(q_t>0.70\)为`early`，\(0.35<q_t\le0.70\)为`middle`，\(0.10<q_t\le0.35\)为`late`，\(q_t\le0.10\)为`endgame`。阈值可在[GP-026](#gp-026)内调整，但必须单调。,随轮次和玩家状态更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-023,候选行动集合,候选集合,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"候选集合；数量1—[GP-026](#gp-026)最大候选数；\(Candidates_t=Prune(Legal_t,Plan_t,Attention_t,Profile)\)。必须保留所有规则强制行动；其余按显著度排序截取前\(K\)项，\(K\)由水平和局面复杂度在配置范围内确定。",每次决策时创建,§17.3+§18.4,STATE-002|STATE-003,false
RP-024,当前注意力状态,注意力对象权重0—1,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"注意力对象权重0—1；权重和为1；对象数不超过注意力容量；对对象\(i\)，\(A_t(i)=\frac{\exp(Salience_t(i)/\tau)}{\sum_j\exp(Salience_t(j)/\tau)}\)，温度\(\tau\in[0.05,5]\)由[GP-026](#gp-026)配置。只保留权重最高的注意力容量项。",每次事件后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-025,当前记忆状态,每条记忆强度0—1,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"每条记忆强度0—1；记忆条目0—10000；\(M_t(i)=\operatorname{clip}(M_{t-1}(i)e^{-\lambda\Delta t}+\rho\cdot Salience_t(i),0,1)\)，\(\lambda,\rho\in[0,1]\)来自[GP-024](#gp-024)。回忆成功率等于当前记忆强度；隐藏信息不得创建记忆条目。",公开事件后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-026,当前搜索状态,搜索深度0—8,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"搜索深度0—8；已检查数0—候选数；停止质量0—1；实际深度\(D_t=\min(D_{profile},D_{time},D_{complexity})\)。当最佳候选满意度\(Sat(best)\ge\theta_{stop}\)、全部候选检查完成或剩余时间达到安全阈值时停止。",每次决策时创建,§17.3+§18.4,STATE-002|STATE-003,false
RP-027,本次操作剩余时间,毫秒整数0—[GP-022](#gp-022)时限,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"毫秒整数0—[GP-022](#gp-022)时限；\(TimeLeft_t=\max(0,Deadline_t-Now_t)\)。当\(TimeLeft_t\le DefaultMargin\)时调用合法默认动作；`DefaultMargin`范围0—时限的50%。",决策窗口中动态更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-028,当前人格与情绪修正,情绪和风格偏移-1—1,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"情绪和风格偏移-1—1；0为基础档案；\(E_t=\operatorname{clip}(\gamma E_{t-1}+\beta Outcome_t,-1,1)\)，\(\gamma\in[0,1]\)为情绪保留率，\(\beta\in[0,1]\)为事件影响率，\(Outcome_t\in[-1,1]\)为标准化结果。",开局创建，重要结果后更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-029,行动历史与决策记录,追加日志,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"追加日志；条目0—1,000,000；\(Trace_t=Trace_{t-1}\mathbin{\Vert}Record_t\)。记录必须包含事件号、可见输入快照哈希、候选、选择、理由、搜索停止原因和随机种子位置。",每次决策后追加,§17.3+§18.4,STATE-002|STATE-003,false
RP-030,本局计分事件,四人计分账本,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"四人计分账本；单项-1,000,000,000—1,000,000,000；\(Ledger_t(p)=Ledger_{t-1}(p)+HuDelta_t(p)+GangDelta_t(p)+TransferDelta_t(p)\)。每个零和结算事件应满足\(\sum_p\Delta_t(p)=0\)，平台非零和奖励须单独标记。",胡牌、杠牌和转移后更新,§17.3+§18.4,STATE-002|STATE-003,true
RP-031,终局公开信息,公开信息集合,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"公开信息集合；最多108张及相关状态；\(Reveal_t=Reveal_{t-1}\cup PublicPayload(Event_t,GP\text{-}021)\)。公开集合只能增加；错误撤回必须作为带版本的更正事件处理。",胡牌或流局公开时更新,§17.3+§18.4,STATE-002|STATE-003,false
RP-032,本局结算结果,四人最终本局分,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"四人最终本局分；单项-1,000,000,000—1,000,000,000；\(RoundResult(p)=Ledger_{end}(p)+HuazhuDelta(p)+DajiaoDelta(p)+TaxRefundDelta(p)+OtherLegalDelta(p)\)，其中退税支付者为负、接收者为正，并应用[GP-013](#gp-013)规定的封顶顺序。通常要求四人总和为0。",结算后固定,§17.3+§18.4,STATE-002|STATE-003,false
RP-033,跨局学习输出,学习输出向量,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,round,"学习输出向量；每个特征0—1；历史长度受[GP-024](#gp-024)限制；对可学习特征\(f\)：\(Profile_{next}(f)=(1-\eta)Profile_{prev}(f)+\eta Observation_t(f)\)，\(\eta\in[0,1]\)。未公开信息对应的\(Observation\)必须为空且不得参与更新。",结算和复盘后生成,§17.3+§18.4,STATE-002|STATE-003,false
