unit_id,ac_id,check,semantic_delta_ids,test_delta_ids,evidence_delta_ids,objective_test_oracle,evidence_source,gate_status,blocking_reason
STATE-001,AC-STATE-001-11,错误码,SEM-STATE-001-01|SEM-STATE-001-02|SEM-STATE-001-05|SEM-STATE-001-06,TEST-STATE-001-01|TEST-STATE-001-03,EVIDENCE-STATE-001-02,每个Locked专用和通用错误各有输入向量且实际code完全相等,STATE-001 §16,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-12,确定性,SEM-STATE-001-02|SEM-STATE-001-03|SEM-STATE-001-05,TEST-STATE-001-03,EVIDENCE-STATE-001-01,相同请求跨进程100次context/result fingerprint逐字节一致,STATE-001 §3 §19,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-13,运行证据,SEM-STATE-001-01|SEM-STATE-001-08,TEST-STATE-001-04,EVIDENCE-STATE-001-01,E4记录来自MatchController→PlayerGameRunner真实链并含规定版本/hash/seed ref/调用点,STATE-001 §18 §20,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-14,性能与追溯,SEM-STATE-001-01|SEM-STATE-001-02|SEM-STATE-001-03|SEM-STATE-001-04|SEM-STATE-001-05|SEM-STATE-001-06|SEM-STATE-001-07|SEM-STATE-001-08,TEST-STATE-001-01|TEST-STATE-001-02|TEST-STATE-001-03|TEST-STATE-001-04,EVIDENCE-STATE-001-02,报告创建/推进延迟分布基线且8 semantic/4 test/E4均有双向trace;不设自创阈值,STATE-001 §20,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-01,108闭集,SEM-STATE-011-01,TEST-STATE-011-01,EVIDENCE-STATE-011-01,physical_id恰为0..107且27个face各4张;重复输入返回DECK_DUPLICATE,STATE-011 §11 §15,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-02,牌面映射,SEM-STATE-011-01,TEST-STATE-011-01,EVIDENCE-STATE-011-02,每个physical_id往返face映射唯一且万筒条各36张,规则文档 §1/§4,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-03,legacy RNG,SEM-STATE-011-02|SEM-STATE-011-08,TEST-STATE-011-02,EVIDENCE-STATE-011-01,缺rng_version的legacy record逐tile wall/dice/hands等于批准前golden,Frozen v2 §5,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-04,RNG v2命名流,SEM-STATE-011-02|SEM-STATE-011-03,TEST-STATE-011-02,EVIDENCE-STATE-011-02,v2 shuffle/dice/exchange trace_ref三者互异且未知版本准确返回RNG_VERSION_UNKNOWN,ALGO-011 approval,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-05,发牌数量,SEM-STATE-011-04,TEST-STATE-011-01,EVIDENCE-STATE-011-01,4座庄14闲13墙55;2/3座手数和余墙符合冻结公式,STATE-011 §11 §19,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-06,发牌顺序,SEM-STATE-011-04,TEST-STATE-011-01,EVIDENCE-STATE-011-02,固定洗牌序列下各seat收到的physical_id序列等于规范seat/dealer顺序oracle,STATE-011 §11,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-07,牌张守恒,SEM-STATE-011-01|SEM-STATE-011-04,TEST-STATE-011-01,EVIDENCE-STATE-011-01,hands+wall的physical_id多重集恰等于完整108闭集,STATE-011 §15,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-08,事务版本,SEM-STATE-011-05,TEST-STATE-011-03,EVIDENCE-STATE-011-01,同event同payload不二次加版本;同ID异payload或迟到version拒绝且hash不变,STATE-011 §12 §17,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-09,失败零提交,SEM-STATE-011-06,TEST-STATE-011-03,EVIDENCE-STATE-011-01,shuffle/deal/conservation三个故障点均result=null且published state/version与before相同,STATE-011 §14-16,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-10,墙与手牌可见性,SEM-STATE-011-07,TEST-STATE-011-04,EVIDENCE-STATE-011-01,四座视图均无wall order/他座hand且每座只见自己的13或14张,STATE-011 §9 §15; RULE-016,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-11,隐藏扰动,SEM-STATE-011-07,TEST-STATE-011-04,EVIDENCE-STATE-011-02,替换未摸墙顺序和对手暗手后同一可见状态投影hash不变化,RULE-016 boundary,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-12,并发确定性,SEM-STATE-011-03|SEM-STATE-011-08,TEST-STATE-011-02,EVIDENCE-STATE-011-01,100种worker完成/重试/取消排列产生相同wall/hands fingerprint,ALGO-011 coordinate decision,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-13,错误码,SEM-STATE-011-01|SEM-STATE-011-02|SEM-STATE-011-04|SEM-STATE-011-06,TEST-STATE-011-01|TEST-STATE-011-03,EVIDENCE-STATE-011-02,INVALID_PLAYER_COUNT/RNG_STREAM_MISSING/DECK_DUPLICATE/DEAL_COUNT/CONSERVATION_FAILED各命中唯一反例,STATE-011 §16,REVIEW_REQUIRED,awaiting design approval
STATE-011,AC-STATE-011-14,E4/E5与性能,SEM-STATE-011-01|SEM-STATE-011-02|SEM-STATE-011-03|SEM-STATE-011-04|SEM-STATE-011-05|SEM-STATE-011-06|SEM-STATE-011-07|SEM-STATE-011-08,TEST-STATE-011-01|TEST-STATE-011-02|TEST-STATE-011-03|TEST-STATE-011-04,EVIDENCE-STATE-011-01|EVIDENCE-STATE-011-02,E4从production create_dealt_game链取得;8 semantic/4 test全追溯并记录延迟基线无自创阈值,STATE-011 §18 §20,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-01,Locked枚举,SEM-STATE-004-01,TEST-STATE-004-01,EVIDENCE-STATE-004-02,枚举准确为CONFIGURED/DEALT/EXCHANGE/DINGQUE/READY/DRAW/DISCARD/RESPONSE/FINISHED/SETTLED且候选额外名拒绝,STATE-004 §11,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-02,合法转换,SEM-STATE-004-02,TEST-STATE-004-01,EVIDENCE-STATE-004-01,实际接受边集合逐项等于Locked §11并覆盖exchange关闭跳过,STATE-004 §11 §19,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-03,非法跳转,SEM-STATE-004-02,TEST-STATE-004-01,EVIDENCE-STATE-004-02,phase×event笛卡尔集中所有非合法边返回ILLEGAL_TRANSITION且phase/version不变,STATE-004 §15-16,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-04,event与版本,SEM-STATE-004-03,TEST-STATE-004-03,EVIDENCE-STATE-004-01,重复同payload幂等;迟到和同ID异payload拒绝;成功仅加1,STATE-004 §12 §17,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-05,第一家胡后继续,SEM-STATE-004-04,TEST-STATE-004-02,EVIDENCE-STATE-004-01,首胡seat退出active set且下一active进入DRAW而非提前FINISHED,规则文档 §11; STATE-004 §11,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-06,多胡与终止,SEM-STATE-004-04,TEST-STATE-004-02,EVIDENCE-STATE-004-01,一炮多响按规范排序退出且第三胡/剩一活动玩家触发FINISHED,RULE-014 dependency,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-07,杠后补摸,SEM-STATE-004-05,TEST-STATE-004-02,EVIDENCE-STATE-004-01,三类杠成功后进入DRAW并仅owner取得补牌;墙空转FINISHED,RULE-006/008; STATE-004 §11,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-08,响应循环,SEM-STATE-004-05,TEST-STATE-004-02,EVIDENCE-STATE-004-02,全部PASS/碰杠/胡响应各自进入唯一预期phase且pending claims清空,STATE-004 §11 §19,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-09,结算吸收,SEM-STATE-004-06,TEST-STATE-004-02,EVIDENCE-STATE-004-01,账本守恒后FINISHED→SETTLED;SETTLED任意后续事件返回TERMINAL_STATE,STATE-004 §15-16,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-10,原子回滚,SEM-STATE-004-07,TEST-STATE-004-03,EVIDENCE-STATE-004-01,每个commit前故障authority hash/version/通知计数均与before相同,STATE-004 §14 §17,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-11,通知顺序,SEM-STATE-004-07,TEST-STATE-004-03,EVIDENCE-STATE-004-02,只有COMMITTED且审计记录存在的版本向每个下游outbox投递一次,STATE-004 §14 §18,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-12,信息隔离,SEM-STATE-004-07|SEM-STATE-004-08,TEST-STATE-004-04,EVIDENCE-STATE-004-01,STATE-004日志和PlayerView递归扫描不含私有牌/master seed/完整SeedTrace,RULE-016; Frozen v2,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-13,确定性与审计,SEM-STATE-004-08,TEST-STATE-004-04,EVIDENCE-STATE-004-01,同game/config/seed跨进程完整transition audit hash链逐字节一致且字段覆盖Locked §18,STATE-004 §3 §18,REVIEW_REQUIRED,awaiting design approval
STATE-004,AC-STATE-004-14,E4/E5与性能,SEM-STATE-004-01|SEM-STATE-004-02|SEM-STATE-004-03|SEM-STATE-004-04|SEM-STATE-004-05|SEM-STATE-004-06|SEM-STATE-004-07|SEM-STATE-004-08,TEST-STATE-004-01|TEST-STATE-004-02|TEST-STATE-004-03|TEST-STATE-004-04,EVIDENCE-STATE-004-01|EVIDENCE-STATE-004-02,E4真实orchestrator覆盖全phase;8 semantic/4 test全追溯并仅记录转换延迟基线,STATE-004 §20,REVIEW_REQUIRED,awaiting design approval
