unit_id,delta_id,source_reference,acceptance_ids,code_symbols,test_references,runtime_evidence_ids,artifact_hashes,result,finding
STATE-011,SEM-STATE-011-05,STATE-011,AC-08,DealTransaction._events|RLock,test_state_011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-DETERMINISM,deal=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-011,SEM-STATE-011-06,STATE-011,AC-09|13,DealTransaction.inject_fault,test_b1b_remediation,FINAL-E4-STATE011-FAILURE,deal=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-011,SEM-STATE-011-07,STATE-011/RULE-016,AC-10|11,PlayerViewBuilder.build,test_b1b_remediation|player_view,FINAL-E4-STATE011-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-011,SEM-STATE-011-08,STATE-011,AC-03|12|14,create_dealt_game|DealTransaction,test_b1b_remediation|test_b1a_algo011,FINAL-E4-STATE011-DETERMINISM,fixture=617ec71a752b8544b30651a93d3ca81c6b56eed60123c7f24637b459be073d1b,PASS,
STATE-004,SEM-STATE-004-01,STATE-004,AC-01,RoundPhase|phase_from_legacy,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-NORMAL|FINAL-E4-STATE004-BOUNDARY,round=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
STATE-004,SEM-STATE-004-02,STATE-004,AC-02|03,_EVENT_EDGES|RoundStateMachine._resolve,test_b1b_remediation,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,SEM-STATE-004-03,STATE-004,AC-04,RoundStateMachine.transition|RLock,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-FAILURE|FINAL-E4-STATE004-DETERMINISM,round=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
STATE-004,SEM-STATE-004-04,STATE-004/RULE-014,AC-05|06,RoundStateMachine._resolve|apply_legacy_transaction,test_b1b_remediation|blood_battle,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,SEM-STATE-004-05,STATE-004,AC-07|08,apply_legacy_transaction|apply_action,test_b1b_remediation|blood_battle,FINAL-E4-STATE004-NORMAL|FINAL-E4-STATE004-BOUNDARY,orchestrator=3340c9e0348dbdd8149daaee2b2202e7f0511b7cb258ff08265adc3f67c589d8,PASS,
STATE-004,SEM-STATE-004-06,STATE-004,AC-09,RoundStateMachine.transition|finalize_game,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-NORMAL,round=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
STATE-004,SEM-STATE-004-07,STATE-004,AC-10|11|12,apply_legacy_transaction|outbox,test_b1b_remediation|player_view,FINAL-E4-STATE004-FAILURE|FINAL-E4-STATE004-NORMAL,round=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
STATE-004,SEM-STATE-004-08,STATE-004,AC-12|13|14,audit_records|canonical_hash,test_b1b_remediation|audit_replay,FINAL-E4-STATE004-DETERMINISM|FINAL-E4-STATE004-NORMAL,orchestrator=3340c9e0348dbdd8149daaee2b2202e7f0511b7cb258ff08265adc3f67c589d8,PASS,
STATE-001,TEST-STATE-001-01,B1-B-test-deltas,AC-01|02|08|11,MatchController,tests/spec_v3/test_state_001.py,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-FAILURE,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,TEST-STATE-001-02,B1-B-test-deltas,AC-03|04|06,MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-BOUNDARY|FINAL-E4-STATE001-FAILURE,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,TEST-STATE-001-03,B1-B-test-deltas,AC-05|12,MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-DETERMINISM,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,TEST-STATE-001-04,B1-B-test-deltas,AC-07|09|10|13|14,PlayerGameRunner|MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-NORMAL,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-011,TEST-STATE-011-01,B1-B-test-deltas,AC-01|02|05|06|07|13,DealTransaction,tests/spec_v3/test_state_011.py,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-FAILURE,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-011,TEST-STATE-011-02,B1-B-test-deltas,AC-03|04|12,DealTransaction|rng_v2,tests/spec_v3/test_b1b_remediation.py|test_b1a_algo011.py,FINAL-E4-STATE011-DETERMINISM,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-011,TEST-STATE-011-03,B1-B-test-deltas,AC-08|09|13,DealTransaction,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE011-FAILURE,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-011,TEST-STATE-011-04,B1-B-test-deltas,AC-10|11|14,PlayerViewBuilder,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE011-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,TEST-STATE-004-01,B1-B-test-deltas,AC-01|02|03,RoundStateMachine,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,TEST-STATE-004-02,B1-B-test-deltas,AC-05|06|07|08|09,RoundStateMachine|blood_battle,tests/spec_v3/test_b1b_remediation.py|test_blood_battle.py,FINAL-E4-STATE004-BOUNDARY|FINAL-E4-STATE004-NORMAL,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,TEST-STATE-004-03,B1-B-test-deltas,AC-04|10|11,apply_legacy_transaction,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE004-FAILURE,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-004,TEST-STATE-004-04,B1-B-test-deltas,AC-12|13|14,PlayerGameRunner|audit_records,tests/spec_v3/test_b1b_remediation.py|audit_replay,FINAL-E4-STATE004-NORMAL|FINAL-E4-STATE004-DETERMINISM,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,EVIDENCE-STATE-001-01,B1-B-evidence-deltas,AC-02|03|05|06|10|13,MatchController,final independent E4,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-BOUNDARY|FINAL-E4-STATE001-FAILURE|FINAL-E4-STATE001-DETERMINISM,E4-final=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,EVIDENCE-STATE-001-02,B1-B-evidence-deltas,AC-01|04|07|08|09|11|12|14,MatchController,final clean E5,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-DETERMINISM,E5-final=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-011,EVIDENCE-STATE-011-01,B1-B-evidence-deltas,AC-01|03|05|07|08|09|10|12|14,DealTransaction,final independent E4,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-BOUNDARY|FINAL-E4-STATE011-FAILURE|FINAL-E4-STATE011-DETERMINISM,E4-final=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-011,EVIDENCE-STATE-011-02,B1-B-evidence-deltas,AC-02|04|06|11|13,DealTransaction|PlayerViewBuilder,final clean E5,FINAL-E4-STATE011-BOUNDARY|FINAL-E4-STATE011-DETERMINISM,E5-final=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-004,EVIDENCE-STATE-004-01,B1-B-evidence-deltas,AC-02|04|05|06|07|09|10|12|13|14,RoundStateMachine,final independent E4,FINAL-E4-STATE004-NORMAL|FINAL-E4-STATE004-BOUNDARY|FINAL-E4-STATE004-FAILURE|FINAL-E4-STATE004-DETERMINISM,E4-final=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
STATE-004,EVIDENCE-STATE-004-02,B1-B-evidence-deltas,AC-01|03|08|11,RoundStateMachine,final clean E5,FINAL-E4-STATE004-BOUNDARY|FINAL-E4-STATE004-FAILURE,E5-final=e34f6e9a9c19644e9f517a367cbfe34342f4943ac0eb7b7290d4dab3cbc52ad1,PASS,
