unit_id,unit_name,source_parameter_requirement,specific_parameter_id_found,concrete_current_behavior_difference,r1_decision,reason
RULE-012,强制胡与最后阶段必胡,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-012 行及其 AU/章节锚点为准；参数：只可强制已合法的HU；不得由策略绕过；相同墙状态和配置产生唯一结果。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-013,多人响应确定性优先级,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-013 行及其 AU/章节锚点为准；参数：解析与响应到达顺序无关；每响应座至多一项最终响应；同一弃牌至多由一个非HU副露消费。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-014,血战胡后退出、继续与终止,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-014 行及其 AU/章节锚点为准；参数：胡者仍可公开观察但不得再摸打响应；每座最多胡一次；终止后不再产生行动请求。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-015,启用番型、互斥/叠加与封顶规则,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-015 行及其 AU/章节锚点为准；参数：校验番型配置→从手牌事实匹配启用番型→执行互斥/替代规则→按固定次序叠加→应用封顶策略→输出番型ID、原始番、有效番和排除理由。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-002,手牌分解、向听、弃牌向听与等待形状,### 1. 输入向量和字段含义 counts:int8[27]各0..4；melds 0..4；dingque enum/null；hand_size符合13/14-3m。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-002 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线DFS普通向听；七对仅6-pairs且仅听牌返回ukeire；规范补distinct项、一般有效进张和完整等待形状 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-003,去重可见牌与未见牌聚合,### 1. 输入向量和字段含义 PlayerView；physical_id 0..107可选；event_id uint64；face 0..26；meld_count 3..4。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-003 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线按牌面Counter跳过被认领弃牌，多个同面事件可能歧义；规范要求事件/实体级去重 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-004,墙内活牌区间或估计,### 1. 输入向量和字段含义 unseen Uf 0..4×27；wall W 0..108；opponent_hidden H 0..52。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-004 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 当前无独立完整实现；模型估计不得替代组合上下界 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-005,逐座剩余摸牌机会估计,### 1. 输入向量和字段含义 active_order 2..4唯一seat；actor；phase；wall W；known_extra_draws；unknown_gang_budget。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-005 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 ceil(W/A)只是粗基线，不能处理当前phase、碰、杠、胡后退出 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-006,mandatory 分类、候选上限与稳定排序,### 1. 输入向量和字段含义 legal_actions 1..N；context；force_flags；max_candidates 1..14；stable_action_key。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-006 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线同样保留mandatory；规范明确cap只约束普通项并要求分类理由 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-007,六分量候选 Q 评价,"### 1. 输入向量和字段含义 x=(S,L,F,R,P,M) Decimal各0..1；权重w各0..1且Σw=1；action_key。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-007 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线为speed/hand_value/defense/flexibility四项+动作调整；不是六分量规范；模型不得替代分量/Q 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-008,seed、噪声、思考时间与随机流确定派生,### 1. 输入向量和字段含义 stream_key uint64；seat0..3；decision/sample_index uint64；purpose枚举；distribution params。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-008 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线少数流用XOR；规范采用purpose/version哈希域隔离；旧流必须按旧版本回放 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-009,配置类型/范围/版本校验、迁移与 canonical hash,### 1. 输入向量和字段含义 raw JSON；schema uint16；GP/RP registry范围；migration path。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-009 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线已有sort_keys紧凑JSON/SHA256；规范补数字canonical及逐步迁移hash 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
ALGO-011,game_id 到牌墙、骰子及子随机流的确定映射,### 1. 输入向量和字段含义 game_id UTF-8 1..256字节；版本uint16；注册stream_name；index uint64。区间均闭区间，枚举外值非法；来源锚点继承 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 ALGO-011 行。 ### 2. 数据类型、最小值和最大值 必须使用上述固定宽度整数、Decimal、稳定枚举和canonical集合；未另注的计数最小0，最大受108实体牌、27牌面、4玩家和int64约束。禁止NaN、±Inf、隐式截断和int64溢出。 ### 4. 基线公式及与规范差异 基线master=BLAKE2b(id)且dice/exchange固定XOR；规范为版本化域隔离，旧版保留回放 规范公式是目标契约；基线只用于兼容和差距审计，必须分别记录formula_version与baseline_version。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-001,换三张候选评价,"### 1. 输入特征 合法同花色三元组；孤张、搭子损失、进张损失、送牌风险。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 孤张+0.8弱牌-1.2结构损失-0.4送牌风险。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-002,定缺花色评价,"### 1. 输入特征 三门张数、孤张率、搭子/对子、清一色潜力。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 少张+0.8零散-结构-0.5清一色潜力。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-003,动态风格调节,"### 1. 输入特征 profile、标准化分差、剩余局、阶段、风险。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 clamp(base+score_mod+stage_mod,-1,1)。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-004,初始做牌方向形成,"### 1. 输入特征 普通/七对向听、番潜力、花色集中、速度、灵活。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 速度+0.7番+0.6集中+0.5灵活。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-005,主备计划生命周期,"### 1. 输入特征 现/新计划效用、持续证据、转换成本、阶段。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 switch_gain=Qnew-Qold-cost；连续k次超过阈值才切换。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-006,定缺花色环境评估,"### 1. 输入特征 四座公开定缺、副露门数、弃牌比例。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 定缺压力-0.5竞争+0.3供给。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-007,公开事件驱动的逐家方向更新,"### 1. 输入特征 先验、弃碰杠定缺事件、阶段、新鲜度。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 evidence=Σevent_weight×0.9^age。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-008,整场比分与剩余局效用调节,"### 1. 输入特征 排名、分差、剩余局、末局标记。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 risk_mod=lead×late-deficit×late；value反向。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-009,先胡、做大和血战顺序效用,"### 1. 输入特征 胡序、向听、摸牌机会、番值、被先胡风险，以及当前合法胡选择PASS后的过胡门槛、恢复事件和预计机会成本。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 speed=urgency+0.8draw_shortage；value=0.8fan-0.7urgency；允许过胡时 `pass_value=value_gain-1.0×lost_hu_opportunity-0.8×recovery_delay`。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-010,多目标冲突复核,"### 1. 输入特征 S/L/F/R/P/M及计划一致性。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 resolved=ALGO-007_Q+0.08plan_consistency。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-011,番型边际做牌价值,"### 1. 输入特征 启用番、可达番、到达成本、封顶余量。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 MV=min(fan_gain,cap_room)×reachability-cost。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-012,碰牌策略评价,"### 1. 输入特征 向听/进张变化、暴露、后续弃牌、轮次收益。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 accept-pass=speed+0.5turn-0.7exposure-0.6bad_discard。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-013,杠牌策略评价,"### 1. 输入特征 杠分、补牌、抢杠风险、损失、墙余量。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 accept-pass=0.8score+0.6draw-0.9rob-0.7loss。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-014,出牌牌效与结构保留策略,"### 1. 输入特征 弃后向听、有效进张、将牌、搭子损失、换听增益。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 -1.2向听+进张+0.5将牌+0.4换听-0.7结构损失。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-015,防守偏好与安全牌选择,"### 1. 输入特征 逐对手风险、等待概率、损失、公开安全证据，并为每个危险牌记录主要防守对象、次要防守对象及风险贡献。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 -Σrisk_i×loss_i+0.4safety。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-017,思考节奏生成,"### 1. 输入特征 候选数、分差复杂度、阶段、profile、deadline。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 t=clamp(base+gain×complexity+jitter,0,deadline-margin)。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
HEUR-018,安全牌储备、扣牌与信息表达,"### 1. 输入特征 安全分、未来牌效损失、威胁座、自身暴露、阶段。每项必须携带来源、缺失mask与版本。 ### 2. 特征范围 连续特征默认[0,1]，修正量[-1,1]；离散计数受牌局上限，时间为[0,deadline_ms]。越界、NaN、Inf拒绝，未知值不得伪装0。 ### 4. 基线评分公式 0.8未来安全+0.5威胁聚焦-0.7牌效成本-0.3信息暴露。固定顺序Decimal计算，ROUND_HALF_EVEN至1e-8；同分按stable_candidate_key。此公式是默认实现，不是唯一正确答案。",,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
