unit_id,ac_id,rules_version,legacy_parameter_version,target_parameter_version,legacy_contract_version,target_contract_version,legacy_canonical_version,target_canonical_version,decision_version,golden_contract,binding_status
STATE-010,AC-STATE-010-11,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-12,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-13,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-14,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-01,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-02,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-03,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-04,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-05,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-06,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-07,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-08,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-09,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-10,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-11,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-12,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-13,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-009,AC-ALGO-009-14,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-01,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-02,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-03,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-04,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-05,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-06,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-07,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-08,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-09,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-10,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-11,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-12,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-13,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
ALGO-011,AC-ALGO-011-14,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
