delta_id,unit_id,target_semantic,current_behavior,missing_behavior,source_reference,semantic_delta,code_location,test_oracle,boundary_cases,runtime_evidence,acceptance_criteria,interface_impact,blocked_by
SEM-ALGO-009-03,ALGO-009,未知字段显式拒绝；extensions仅在声明容器内处理,根和多数GP exact-key拒绝；GP-002/004有extensions,Locked未定义extensions元素schema、是否参与hash及迁移；废弃字段策略不全,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §§5,7,11; common_contracts §10",普通未知键PARAM_UNKNOWN；废弃键仅由特定迁移消费；extensions按批准schema保留并参与canonical hash,config_validation.py; config.py,未知键拒绝；已废弃键只在对应source version迁移；extensions顺序/内容golden,未知根/GP/profile键、废弃键、新extension,生产loader accepted/error trace,不得静默丢字段；extension处理逐项可预测,NO_INTERFACE_CHANGE,SPEC-DECISION-EXTENSIONS
SEM-ALGO-009-04,ALGO-009,缺省与null不同；仅明确可选字段允许null,EngineConfig大量get/default/int/bool强制转换；Humanlike exact字段但early_end_score可null,60参数逐字段required/default/nullable表未冻结,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §7; common_contracts §§2,8; 07-traceability/parameter_registry.csv",只在registry定义default时对缺失应用Locked默认；显式null仅nullable=true接受,config_validation.py; parameter_registry.py; engine/config.py adapter,缺失必填/缺失有默认/null可空/null不可空四向量,false/0/empty不得当缺失；嵌套字段,真实配置加载defaults审计字段,defaults列表只包含实际应用项，其他情况稳定错误,NO_INTERFACE_CHANGE,SPEC-DECISION-STATE-DEFAULTS
SEM-ALGO-009-05,ALGO-009,禁止NaN/Inf，Decimal按字段scale半偶,Humanlike json dumps禁非有限输出但_number接受float后范围通常拒绝；EngineConfig会强转,输入parse、嵌套值、-0及Decimal scale未统一,"ALGO-009 §§2,6,7,13",JSON解析后递归拒非有限；按批准numeric canonical策略标准化,config_validation.py,"NaN,+Inf,-Inf各层均NON_FINITE；无提交",字符串NaN、1e309、Decimal边界、-0.0,生产拒绝trace不含非法原值,非有限在hash前拒绝且结果为空,NO_INTERFACE_CHANGE,SPEC-DECISION-CANONICAL-NUMBER
SEM-ALGO-009-06,ALGO-009,canonical UTF-8 JSON键序、固定数字、无NaN/Inf,现有ensure_ascii=False/sort_keys/compact/allow_nan=False,Unicode规范化、键排序基准、整数/浮点编码、-0尚未精确冻结,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §§3,4,6,10; common_contracts header",选定并文档化唯一字节算法，固化跨语言golden；hash=SHA256(bytes),config_validation.py; canonical_json utility,包含组合/分解Unicode、大整数、1.0、指数、-0的固定bytes+hash golden,NFC/NFD、非BMP、转义、2^53±1、-0、尾零、指数,生产trace记录canonical_hash和算法版本，不记录敏感原文,跨进程/语言逐字节一致,NO_INTERFACE_CHANGE,SPEC-DECISION-CANONICAL-NUMBER|SPEC-DECISION-CANONICAL-UNICODE
SEM-ALGO-009-07,ALGO-009,迁移失败零提交,settings_service文件写有临时文件原子replace；内存迁移无统一事务结果,无法证明所有迁移失败均保留上一配置和文件,"ALGO-009 §5; STATE-010 §§12,14",迁移/验证/hash全在临时对象；成功后一次替换/冻结,config_validation.py; settings_service.py,每阶段异常后目标文件bytes与active config hash不变,磁盘满模拟、invalid target、并发保存、崩溃点,真实settings save failure trace,失败无文件/内存部分状态,NO_INTERFACE_CHANGE,
SEM-ALGO-009-08,ALGO-009,失败返回显式错误，不以旧配置伪装成功,settings保存失败抛异常；运行中自然保留旧对象,Locked未说明加载/热重载失败是否可继续使用上一有效配置及如何标记,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §§5,9,13; common_contracts §8",禁止静默fallback；是否允许显式degraded继续由规格决策；若允许必须accepted=false且old hash明确,settings_service.py; config manager,失败场景不会返回新accepted配置；旧配置使用行为匹配批准决策,启动加载失败与热重载失败分别测试,生产trace标识attempted_hash/active_hash/error,未批准前不实现自动回退,NO_INTERFACE_CHANGE,SPEC-DECISION-CONFIG-FALLBACK
SEM-ALGO-011-01,ALGO-011,版本化域隔离公式生成master和注册流seed,"当前master=BLAKE2b(id,8)，dice/exchange XOR",规范公式未实现,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-011 §§1,3,4",实现v2纯函数：domain+长度前缀+id+versions→master；master+流名+版本→seed,engine/game_id.py,规范字节拼接和seed golden 0误差,1/256字节ID、uint16边界、Unicode字节长度,create_dealt_game生产trace记录版本和seed hashes,同ID/版本/流逐字段一致，域间不同,NO_INTERFACE_CHANGE,
SEM-ALGO-011-02,ALGO-011,旧版保留回放且shuffle/dice/exchange golden不变,derive_seeds使用旧master/XOR并已进入deal,原设计用新公式覆盖旧流会破坏golden,ALGO-011 §4 ‘旧版保留回放’,保留legacy-v1 derive_seeds原字节/数值；新增规范版本走独立入口，绝不改变legacy函数结果,engine/game_id.py; engine/deal.py,现有全部deal/dice/shuffle golden逐字段不变；新v2独立golden,旧ID空白规范化、历史存档,旧回放生产链输出hash与变更前一致,legacy-v1结果零变化；v2不复用XOR,NO_INTERFACE_CHANGE,
SEM-ALGO-011-03,ALGO-011,algorithm/rng version明确选择,Frozen SeedTrace要求algorithm_version；当前API无版本参数,缺省版本、旧/新回放选择规则未冻结,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-011 §§1,4,13; common_contracts §8",新录制必须显式写版本；回放从持久化元数据选择；缺失版本行为等待决策，不按当前代码猜测,engine/game_id.py; persistence/replay adapters,版本缺失/未知/legacy/new四向量返回批准结果,缺字段、null、0、未来版本、版本冲突,真实旧/新回放trace显示选择来源,不允许运行环境或当前默认悄然改变历史结果,NO_INTERFACE_CHANGE,SPEC-DECISION-RNG-VERSION
SEM-ALGO-011-04,ALGO-011,注册流名唯一；新增流不改旧流；未知流拒绝,仅固定DerivedSeeds字段，无registry,注册流全集和命名语法未集中,"ALGO-011 §§1,5,9,10,13",建立版本化不可变stream registry；派生按名称纯函数；未知=STREAM_UNKNOWN,engine/game_id.py,注册顺序置换不影响每流seed；重复名启动失败；未知拒绝,空名、长名、Unicode、大小写、重复,生产trace只列已消费流和hash,每版本注册表唯一且新增名字不改变已有seed,NO_INTERFACE_CHANGE,
SEM-ALGO-011-05,ALGO-011,worker并发不依赖调度顺序,训练/策略仍有分散Random；现有derive无worker坐标,若用共享可变index会使完成顺序改变结果,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-011 §§3,5,10; common_contracts §8","派生为无状态函数(seed(stream, logical_consumer, logical_index))；禁止全局next()/共享计数器",engine/game_id.py; later consumer adapters,随机化提交/完成顺序100次，每个逻辑坐标结果相同,worker增减、重试、取消、分片、乱序,真实多worker运行trace按逻辑坐标重放一致,结果仅由冻结坐标决定，不含OS线程/进程号/调度序,NO_INTERFACE_CHANGE,
SEM-ALGO-011-06,ALGO-011,逻辑consumer/index坐标稳定,Frozen SeedTrace有index_before/after，但未定义坐标语义,不同消费类型的index分配规则未冻结,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-011 §§1,3,10; common_contracts §§7,8",坐标至少含stream_name+consumer_id+logical_event_id+draw_index；每次调用显式传入，不内部递增,engine/game_id.py,同坐标同seed；任一维变化域隔离；重试同坐标不前移,同事件多样本、批次重排、回放重试、取消,生产trace记录安全的consumer hash与logical index,禁止共享可变stream index；坐标可从事件日志恢复,NO_INTERFACE_CHANGE,SPEC-DECISION-RNG-COORDINATE
SEM-ALGO-011-07,ALGO-011,SeedTrace满足Frozen字段且不泄露未来信息,当前无SeedTrace；DecisionResult契约要求它,Frozen结构含master_seed和index，但策略可见会泄露；需要受控投影,"common_contracts §§6,8; ALGO-011 §14",引擎/审计持有完整SeedTrace；策略边界仅给rng_used和不透明trace_ref，不给seed/master/index/未来流,engine/game_id.py; decision/audit adapters,策略对象图与序列化均无敏感字段；审计可复算；持久化加密/受限,日志、异常、repr、缓存、派生hash投毒,生产decision trace通过schema白名单检查,策略无法从任何字段推导牌墙、对手行为或后续噪声,COMPATIBLE_EXTENSION,
SEM-ALGO-011-08,ALGO-011,输入失败不产生部分流映射,当前单个derive全量返回，无版本/registry校验,新多流实现必须保证未知/重复/版本错零输出,"ALGO-011 §§5,7,9,13",先验证ID/版本/registry/坐标，再构造不可变映射,engine/game_id.py,任一非法输入result=null且无缓存/索引变化,空/超长/null ID、未知version/stream、index溢出,生产拒绝trace仅含安全hash和error,失败无部分seed映射或可观察index变化,NO_INTERFACE_CHANGE,
