batch_id,batch_name,track_id,unit_ids,unit_count,internal_order,external_dependencies,in_batch_dependencies,unlocks,completion_path,design_status,implementation_status,audit_status,model001_gate,expected_shared_interfaces,global_document_impact
T19-D10,Deterministic algorithms A,TRACK-DETERMINISTIC,ALGO-003|ALGO-004,2,ALGO-003 -> ALGO-004,,ALGO-003->ALGO-004,T19-D11|T19-H01|T19-M01|T19-X01,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-D11,Deterministic algorithms B,TRACK-DETERMINISTIC,ALGO-005|ALGO-007,2,ALGO-005 -> ALGO-007,T19-B2A1|T19-D01|T19-D10,ALGO-005->ALGO-007,T19-A01|T19-H05|T19-H06,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|orchestrator.py|player_view_builder.py|player_view_v2.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D12,Deterministic algorithm C,TRACK-DETERMINISTIC,ALGO-008,1,ALGO-008,T19-D03,,T19-A02|T19-H06,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,legal.py|player_view_builder.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D13,State completion A,TRACK-DETERMINISTIC,STATE-006|STATE-008,2,STATE-006 -> STATE-008,T19-D09,STATE-006->STATE-008,T19-A01|T19-H03|T19-H04|T19-M01,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|orchestrator.py|player_view_v2.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D14,State completion B,TRACK-DETERMINISTIC,STATE-007|STATE-012,2,STATE-007 -> STATE-012,T19-B2A1|T19-D03,,T19-A02|T19-A05,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,persistence.py,DELTA_ONLY; Terminal 0 owns global files
T19-H01,Heuristic foundation A,TRACK-HEURISTIC,HEUR-001|HEUR-002|HEUR-004,3,HEUR-001 -> HEUR-002 -> HEUR-004,T19-B2A1|T19-D02|T19-D10|T19-H03,,T19-H04,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,exchange.py|opening.py|shanten.py|win_check.py,DELTA_ONLY; Terminal 0 owns global files
T19-H02,Heuristic foundation B,TRACK-HEURISTIC,HEUR-006|HEUR-008|HEUR-011,3,HEUR-006 -> HEUR-008 -> HEUR-011,T19-B2A1|T19-D02|T19-D09,,T19-H04|T19-H05,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,fan.py|player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-H03,Heuristic foundation C,TRACK-HEURISTIC,HEUR-020|HEUR-022,2,HEUR-020 -> HEUR-022,T19-D13,,T19-H01|T19-H04|T19-H06|T19-H07|T19-H08|T19-M01|T19-X01,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,fan.py|score.py,DELTA_ONLY; Terminal 0 owns global files
T19-H04,Heuristic decisions A,TRACK-HEURISTIC,HEUR-003|HEUR-005|HEUR-007,3,HEUR-003 -> HEUR-005 -> HEUR-007,T19-D13|T19-H01|T19-H02|T19-H03|T19-X01,,T19-H05|T19-H06,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|orchestrator.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-H05,Heuristic decisions B,TRACK-HEURISTIC,HEUR-009|HEUR-010|HEUR-012,3,HEUR-009 -> HEUR-010 -> HEUR-012,T19-B2A1|T19-D05|T19-D11|T19-H02|T19-H04,,,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-H06,Heuristic decisions C,TRACK-HEURISTIC,HEUR-014|HEUR-017|HEUR-021|HEUR-023,4,HEUR-014 -> HEUR-017 -> HEUR-021 -> HEUR-023,T19-B2A1|T19-D03|T19-D11|T19-D12|T19-H03|T19-H04,,,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,legal.py|player_view_builder.py,DELTA_ONLY; Terminal 0 owns global files
T19-H07,Heuristic risk A,TRACK-HEURISTIC,HEUR-013|HEUR-015,2,HEUR-013 -> HEUR-015,T19-D05|T19-D06|T19-D07|T19-H03|T19-M01,,T19-H09,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,legal.py,DELTA_ONLY; Terminal 0 owns global files
T19-H08,Heuristic full implementation,TRACK-HEURISTIC,HEUR-016,1,HEUR-016,T19-H03,,T19-H09,PATH-FULL-IMPLEMENTATION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-H09,Heuristic risk B,TRACK-HEURISTIC,HEUR-018,1,HEUR-018,T19-H07|T19-H08,,,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-M01,Model inference,TRACK-MODEL,MODEL-002|MODEL-003,2,MODEL-002 -> MODEL-003,T19-D10|T19-D13|T19-H03|T19-X01,,T19-H07,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-M02,Trainable policy contract,TRACK-MODEL,MODEL-004,1,MODEL-004,T19-T01,,T19-M03,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-M03,Model lifecycle,TRACK-MODEL,MODEL-005,1,MODEL-005,T19-A05|T19-M02|T19-X02,,T19-X03,PATH-EXTERNAL-DATA,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-X01,MODEL-001 external calibration,TRACK-EXTERNAL-DATA,MODEL-001,1,MODEL-001,T19-D10|T19-H03,,T19-H04|T19-M01,PATH-EXTERNAL-DATA,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,SELF_ONLY,,DELTA_ONLY; Terminal 0 owns global files
T19-T01,Training contracts A,TRACK-TRAINING,TRAIN-001|TRAIN-002,2,TRAIN-001 -> TRAIN-002,T19-D01,,T19-A06|T19-M02|T19-T02|T19-T03|T19-X02,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|orchestrator.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-T02,Training contracts B,TRACK-TRAINING,TRAIN-004|TRAIN-005,2,TRAIN-004 -> TRAIN-005,T19-T01,,T19-T03,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|replay.py,DELTA_ONLY; Terminal 0 owns global files
T19-T03,Training environment,TRACK-TRAINING,TRAIN-006|TRAIN-009,2,TRAIN-006 -> TRAIN-009,T19-T01|T19-T02,,T19-A05|T19-T04,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|invariants.py|state.py,DELTA_ONLY; Terminal 0 owns global files
T19-T04,Training self-play,TRACK-TRAINING,TRAIN-007,1,TRAIN-007,T19-D06|T19-T03,,,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|invariants.py|orchestrator.py|session.py|state.py,DELTA_ONLY; Terminal 0 owns global files
T19-X02,Offline training data,TRACK-EXTERNAL-DATA,TRAIN-008,1,TRAIN-008,T19-A06|T19-T01,,T19-M03,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-A01,Audit runtime A,TRACK-AUDIT,AUDIT-001|AUDIT-002,2,AUDIT-001 -> AUDIT-002,T19-B2A1|T19-D03|T19-D11|T19-D13,,T19-A06,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|blood_battle.py|orchestrator.py|physical_tile.py|player_view_builder.py|session.py|state.py,DELTA_ONLY; Terminal 0 owns global files
T19-A02,Audit runtime B,TRACK-AUDIT,AUDIT-004|AUDIT-005,2,AUDIT-004 -> AUDIT-005,T19-D01|T19-D12|T19-D14,,T19-A03|T19-A05,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|orchestrator.py|physical_tile.py|player_view_builder.py|player_view_v2.py|session.py|state.py,DELTA_ONLY; Terminal 0 owns global files
T19-A03,Audit runtime C,TRACK-AUDIT,AUDIT-006|AUDIT-007,2,AUDIT-006 -> AUDIT-007,T19-A02,,T19-A04|T19-A05,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,exchange.py|legal.py|opening.py|player_view_builder.py,DELTA_ONLY; Terminal 0 owns global files
T19-A04,Audit trace A,TRACK-AUDIT,AUDIT-010|AUDIT-008,2,AUDIT-010 -> AUDIT-008,T19-A03,AUDIT-010->AUDIT-008,T19-A05,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,,DELTA_ONLY; Terminal 0 owns global files
T19-A05,Audit trace B,TRACK-AUDIT,AUDIT-009|AUDIT-011,2,AUDIT-009 -> AUDIT-011,T19-A02|T19-A03|T19-A04|T19-D14|T19-T03,,T19-M03|T19-X03,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,persistence.py|player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-A06,Audit release,TRACK-AUDIT,AUDIT-013|AUDIT-014,2,AUDIT-013 -> AUDIT-014,T19-A01|T19-T01,,T19-X02|T19-X03,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|orchestrator.py|shanten.py|state.py|win_check.py,DELTA_ONLY; Terminal 0 owns global files
T19-X03,External effect evaluation,TRACK-EXTERNAL-DATA,AUDIT-012,1,AUDIT-012,T19-A05|T19-A06|T19-M03,,,PATH-EXTERNAL-DATA,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
