source_rule_refs,parameter_refs,unit_id,unit_name,unit_type,target_module,detailed_spec,detail_status,primary_inputs,primary_outputs,determinism,trainable,rng,visibility
"AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-011","过胡设置、持续与恢复","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","declined hu + phase/events","pass-hu state","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-012","强制胡与最后阶段必胡","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","legal hu + GP rule + wall state","forced action","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-031 人类化决策规则：第 7—14 章 / 9.1 响应优先；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-060 程序实现规范：第 0—10 章 / 3.6 Action Resolver；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-008～GP-010、GP-002～GP-020、RP-024～RP-032","RULE-013","多人响应确定性优先级","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","response set + GP-008","resolved actions","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-006 人类化决策规则：第 0—6 章 / 3. 定庄与座位；AU-018 人类化决策规则：第 7—14 章 / 7.9 胡牌人数；AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","GP-003、RP-018, RP-021、GP-011～GP-020、GP-002～GP-020","RULE-014","血战胡后退出、继续与终止","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","hu result + active seats + wall","active set/end","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-022 人类化决策规则：第 7—14 章 / 7.14 全番型配置","GP-001～GP-027、GP-011～GP-020","RULE-015","启用番型、互斥/叠加与封顶规则","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","ruleset + hand facts","applicable fan policy","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界","GP-021、GP-021, RP-031","RULE-016","局中与终局公开信息范围","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","phase + seat + event","visible field set","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-010 人类化决策规则：第 0—6 章 / 5. 换三张合法性；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-064 程序实现规范：第 0—10 章 / 4.1 牌编码；AU-066 程序实现规范：第 0—10 章 / 4.3 手牌与组合","GP-005, GP-006, RP-001, RP-002、GP-001～GP-027, RP-001～RP-033、RP-003～RP-005、GP-011～GP-020","ALGO-001","face/physical tile 编码、投影与所有权守恒","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","physical regions","face views + conservation result","是","否","否","配置/引擎私有"
"AU-008 人类化决策规则：第 0—6 章 / 4. 初始手牌整理；AU-036 人类化决策规则：第 7—14 章 / 10.1–10.5 出牌；AU-074 程序实现规范：第 0—10 章 / 10.1 手牌分析","RP-003～RP-005、RP-003～RP-005, RP-019","ALGO-002","手牌分解、向听、弃牌向听与等待形状","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","concealed faces + melds","analyses","是","否","否","座位可见"
"AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-067 程序实现规范：第 0—10 章 / 4.4 可见牌；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-014～RP-018, RP-021、RP-006～RP-018、GP-001～GP-027, RP-001～RP-033、GP-001～GP-027","ALGO-003","去重可见牌与未见牌聚合","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","PlayerView","visible/unseen counts","是","否","否","座位可见"
"AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-014～RP-018, RP-021、RP-006～RP-018、GP-001～GP-027, RP-001～RP-033、GP-001～GP-027","ALGO-004","墙内活牌区间或估计","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","unseen + public allocations","live estimate","是","否","否","座位可见"
"AU-023 人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会；AU-030 人类化决策规则：第 7—14 章 / 8.9 剩余机会；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-014～RP-018, RP-021、RP-018, RP-021、GP-001～GP-027, RP-001～RP-033、GP-021, RP-001～RP-023","ALGO-005","逐座剩余摸牌机会估计","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","active order + wall + response assumptions","draw interval","是","否","否","座位可见"
"AU-001 人类化决策规则：第 0—6 章 / 0. 范围与合法性优先；AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-002, GP-008～GP-010、RP-023～RP-029、GP-001～GP-027, RP-001～RP-033、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","ALGO-006","mandatory 分类、候选上限与稳定排序","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","legal actions + context","mandatory/candidate set","是","否","否","座位可见"
"AU-049 人类化决策规则：第 15—18 章与参数 / 18. Q 评价；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","GP-025, RP-019～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029、GP-021, RP-001～RP-023","ALGO-007","六分量候选 Q 评价","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","normalized features + weights","Q components/total","是","否","否","座位可见"
"AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-084 程序实现规范：第 11—19 章 / 12.3 确定性回放","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-019～RP-029、GP-001～GP-027","ALGO-008","seed、噪声、思考时间与随机流确定派生","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","game_id/seat/decision/config","reproducible samples","是","否","是（必须使用命名随机流）","配置/引擎私有"
"AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-045 人类化决策规则：第 15—18 章与参数 / 17. GP 注册；AU-048 人类化决策规则：第 15—18 章与参数 / 18. 数值校验；AU-051 程序实现规范：第 0—10 章 / 0–1. 版本与源绑定；AU-069 程序实现规范：第 0—10 章 / 5. 配置模型；AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001～GP-027、GP-001","ALGO-009","配置类型/范围/版本校验、迁移与 canonical hash","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","raw config","frozen config/hash or explicit error","是","否","否","配置/引擎私有"
"AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-058 程序实现规范：第 0—10 章 / 3.4 Player View","GP-021","ALGO-010","PlayerView 白名单构建","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","authoritative state + seat + phase","PlayerView","是","否","否","座位可见"
"实现规范 §12.3；规则文档 §14.10–14.11","无直接登记","ALGO-011","game_id 到牌墙、骰子及子随机流的确定映射","确定算法","engine/analysis","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","game_id + versions","named RNG streams","是","否","是（必须使用命名随机流）","配置/引擎私有"
"AU-011 人类化决策规则：第 0—6 章 / 5. 换牌策略","GP-023～GP-026","HEUR-001","换三张候选评价","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","legal triples + hand/public features","ranked triples","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-012 人类化决策规则：第 0—6 章 / 6. 定缺选择","RP-003～RP-005","HEUR-002","定缺花色评价","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","hand structure + public context","ranked suits","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-005 人类化决策规则：第 0—6 章 / 2. 风格动态变化；AU-020 人类化决策规则：第 7—14 章 / 7.11 玩家风格/水平","GP-001～GP-027、GP-023～GP-027、GP-023～GP-026","HEUR-003","动态风格调节","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","profile + score/stage/hand","effective style knobs","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-008 人类化决策规则：第 0—6 章 / 4. 初始手牌整理；AU-014 人类化决策规则：第 7—14 章 / 7.1 做牌方向；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy","RP-003～RP-005、RP-019, RP-020、GP-023～GP-027, RP-001～RP-033","HEUR-004","初始做牌方向形成","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","initial analysis + profile","primary/backup direction","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-009 人类化决策规则：第 0—6 章 / 4. 初步计划可修正；AU-014 人类化决策规则：第 7—14 章 / 7.1 做牌方向；AU-017 人类化决策规则：第 7—14 章 / 7.4–7.8 动态调整；AU-025 人类化决策规则：第 7—14 章 / 7.17 主/备计划；AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy","RP-019, RP-020、RP-006～RP-020、RP-023～RP-029、GP-023～GP-027, RP-001～RP-033","HEUR-005","主备计划生命周期","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","observations + current plan","retain/switch/restart","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-015 人类化决策规则：第 7—14 章 / 7.2 花色环境","RP-006～RP-018","HEUR-006","定缺花色环境评估","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","all public dingque/melds","suit environment","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-017 人类化决策规则：第 7—14 章 / 7.4–7.8 动态调整；AU-026 人类化决策规则：第 7—14 章 / 8.1–8.4 算牌顺序","RP-006～RP-020、RP-003～RP-021","HEUR-007","公开事件驱动的逐家方向更新","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","prior hypotheses + events","heuristic direction evidence","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-019 人类化决策规则：第 7—14 章 / 7.10 比分/剩余局","GP-027, RP-022","HEUR-008","整场比分与剩余局效用调节","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","standings + rounds left","match utility modifiers","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-018 人类化决策规则：第 7—14 章 / 7.9 胡牌人数；AU-024 人类化决策规则：第 7—14 章 / 7.16 先胡/顺序","RP-018, RP-021、RP-022, RP-023","HEUR-009","先胡、做大和血战顺序效用","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","hu order + hand value + risk","speed/value preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-021 人类化决策规则：第 7—14 章 / 7.12–7.13 冲突与复核","RP-019, RP-020, RP-024～RP-029","HEUR-010","多目标冲突复核","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","speed/fan/risk/plan/match signals","resolved preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-022 人类化决策规则：第 7—14 章 / 7.14 全番型配置","GP-011～GP-020","HEUR-011","番型边际做牌价值","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","enabled fan policy + hand path","marginal value","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-034 人类化决策规则：第 7—14 章 / 9.4 碰牌响应","GP-008, GP-023","HEUR-012","碰牌策略评价","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","legal peng + structure/exposure/turn","accept/pass score","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应","GP-014～GP-020","HEUR-013","杠牌策略评价","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","legal gang + score/risk/rob context","accept/pass score","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-036 人类化决策规则：第 7—14 章 / 10.1–10.5 出牌","RP-003～RP-005, RP-019","HEUR-014","出牌牌效与结构保留策略","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","analyzed hand + legal discards","strategic rank","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-037 人类化决策规则：第 7—14 章 / 10.6 防守风险；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-018、GP-001～GP-027","HEUR-015","防守偏好与安全牌选择","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","per-seat risk + loss + profile","defensive rank","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-028 人类化决策规则：第 7—14 章 / 8.6–8.7 行为序列/反观察","RP-006～RP-017","HEUR-016","行为序列推断","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","ordered public actions","behavioral cues","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现","GP-024～GP-026, RP-024～RP-029","HEUR-017","思考节奏生成","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","complexity + profile + deadline","planned think time","是（给定版本与 seed）","否","是（必须使用命名随机流）","仅 PlayerView/策略私有认知"
"AU-028 人类化决策规则：第 7—14 章 / 8.6–8.7 行为序列/反观察；AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现","RP-006～RP-017、GP-024～GP-026, RP-024～RP-029","HEUR-018","安全牌储备、扣牌与信息表达","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","hand/public threats/self exposure","retention preference","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-026 人类化决策规则：第 7—14 章 / 8.1–8.4 算牌顺序；AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-003～RP-021、GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029、GP-021, RP-001～RP-023","HEUR-019","Top-K 有限注意分配","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","visible cues + capacity","attended items","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-027 人类化决策规则：第 7—14 章 / 8.5 有限记忆；AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-076 程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q","RP-001～RP-033、GP-024, RP-024、GP-011～GP-020、GP-023～GP-027, RP-024～RP-033、GP-023～GP-027, RP-001～RP-033、GP-021, RP-001～RP-023","HEUR-020","有界记忆衰减与强化","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","visible events + memory config","memory snapshot","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","HEUR-021","有限推演与满意停止","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","candidates + budget/threshold","checked set/stop reason","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-020 人类化决策规则：第 7—14 章 / 7.11 玩家风格/水平；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型","GP-023～GP-026、GP-023～GP-027, RP-024～RP-033","HEUR-022","人格、水平与情绪状态消费","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","profile + short state","decision modifiers","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知"
"AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现；AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","HEUR-023","有界近似选择与人类失误","启发式策略","players/humanlike","03-unit-specs/human_heuristic_specs.md","Locked / Not Evaluated","checked candidates + bounded noise","chosen legal action","是（给定版本与 seed）","否","是（必须使用命名随机流）","仅 PlayerView/策略私有认知"
"AU-007 人类化决策规则：第 0—6 章 / 3. 独立对手模型；AU-016 人类化决策规则：第 7—14 章 / 7.3 逐家方向；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-017、RP-006～RP-018、GP-023～GP-027, RP-001～RP-033、GP-001～GP-027","MODEL-001","逐对手归一化方向/牌型假设","概率模型","players/humanlike/models + training/models","03-unit-specs/probabilistic_model_specs.md","Locked / Not Evaluated","public evidence + prior","posterior hypotheses","是（冻结推理）","否","否","仅 PlayerView/公开历史"
"AU-037 人类化决策规则：第 7—14 章 / 10.6 防守风险；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-018、GP-023～GP-027, RP-001～RP-033、GP-001～GP-027","MODEL-002","逐对手听牌/等待/损失风险模型","概率模型","players/humanlike/models + training/models","03-unit-specs/probabilistic_model_specs.md","Locked / Not Evaluated","public evidence + hypotheses","risk distribution","是（冻结推理）","否","否","仅 PlayerView/公开历史"
"AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-047 人类化决策规则：第 15—18 章与参数 / 17. RP-033 学习输出","RP-001～RP-033、GP-023～GP-027, RP-024～RP-033、RP-033","MODEL-003","仅公开信息的跨局对手画像学习","概率模型","players/humanlike/models + training/models","03-unit-specs/probabilistic_model_specs.md","Locked / Not Evaluated","match history + bounded state","next profile","是（冻结推理）","否","否","仅 PlayerView/公开历史"
"AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","MODEL-004","可训练策略输入输出契约","可训练模型","players/humanlike/models + training/models","03-unit-specs/probabilistic_model_specs.md","Locked / Not Evaluated","observation + mask + parameters","action distribution/value","冻结推理可确定；训练未必","是","是（必须使用命名随机流）","训练受限"
"实现规范 §11.1、§18.3","无直接登记","MODEL-005","训练模型产物版本、冻结和评估生命周期","可训练模型","players/humanlike/models + training/models","03-unit-specs/probabilistic_model_specs.md","Locked / Not Evaluated","training run + data/config hashes","frozen model card/artifact","冻结推理可确定；训练未必","是","是（必须使用命名随机流）","训练受限"
"AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller","RP-001～RP-033、GP-001～GP-027","STATE-001","Match 配置冻结、玩家装配与整场控制","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","match request","immutable match context","是","否","否","权威私有"
"AU-057 程序实现规范：第 0—10 章 / 3.3 State Store；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","RP-001～RP-023、RP-001～RP-033","STATE-002","权威 RoundState 存储与授权访问","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","atomic events","authoritative state","是","否","否","权威私有"
"AU-066 程序实现规范：第 0—10 章 / 4.3 手牌与组合；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-011～GP-020、RP-001～RP-033","STATE-003","PlayerRoundState 手牌、副露、定缺与过胡状态","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","rule transitions","player state","是","否","否","权威私有"
