原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-011,换牌策略,保护强结构、优先弱张、相近方案降低送牌、来源仅作弱线索,人类化决策规则：第 0—6 章 / 5. 换牌策略,GP-023～GP-026,players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py; engine/exchange.py; engine/opening.py; players/humanlike/evaluator.py; players/humanlike/policy.py,players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures; engine/shanten.py:272::shanten; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult; engine/exchange.py:57::validate_exchange_tiles; engine/exchange.py:76::resolve_exchange_tiles,players/humanlike/evaluator.py:70::analyze_action; players/humanlike/player.py:111::analyze_action; players/humanlike/evaluator.py:66::visible_hand; players/humanlike/hand_analyzer.py:52::visible_hand; players/humanlike/hand_analyzer.py:80::HandFeatures; engine/score.py:124::shanten,tests/test_shanten.py; tests/test_win_fan.py,tests/test_shanten.py::test_s02_winning_standard_shanten_neg1; tests/test_shanten.py::test_s01_tenpai_shanten_0; tests/test_shanten.py::test_s03_seven_pairs_tenpai; tests/test_shanten.py::test_s04_dingque_raises_shanten; tests/test_win_fan.py::test_w01_standard_win; tests/test_win_fan.py::test_w02_seven_pairs,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,能基于结构和公开危险排序，但没有逐条实现刻子/顺子/对子保护与来源可信度模型,无已识别硬阻塞,P3,部分完成,Humanlike evaluator 的 exchange danger/结构评分、belief,能基于结构和公开危险排序，但没有逐条实现刻子/顺子/对子保护与来源可信度模型
AU-012,定缺选择,0 张优先、少而散优先、保护强结构、清一色仅自然影响,人类化决策规则：第 0—6 章 / 6. 定缺选择,RP-003～RP-005,players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py; engine/opening.py; engine/legal.py; players/humanlike/evaluator.py,players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures; engine/shanten.py:272::shanten; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult; engine/opening.py:91::begin_opening; engine/opening.py:157::submit_exchange,players/humanlike/evaluator.py:70::analyze_action; players/humanlike/player.py:111::analyze_action; players/humanlike/evaluator.py:66::visible_hand; players/humanlike/hand_analyzer.py:52::visible_hand; players/humanlike/hand_analyzer.py:80::HandFeatures; engine/score.py:124::shanten,tests/test_exchange_dingque.py,tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t04_multiset_transfer; tests/test_exchange_dingque.py::test_t05_illegal_exchange; tests/test_exchange_dingque.py::test_t06_overwrite_pending; tests/test_exchange_dingque.py::test_t07_fixed_clockwise; tests/test_exchange_dingque.py::test_t09_dingque_overwrite; tests/test_exchange_dingque.py::test_wrong_phase_ops,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,有数量和结构启发式；清一色潜力、风格和清缺成本没有完整联合评估,无已识别硬阻塞,P2,部分完成,dingque action evaluator、shanten dingque、opening tests,有数量和结构启发式；清一色潜力、风格和清缺成本没有完整联合评估
AU-013,清缺约束,缺门未清只能打缺、不能胡，后期避免花猪,人类化决策规则：第 0—6 章 / 6. 清缺约束,"GP-002, RP-003",engine/legal.py; engine/win_check.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; engine/win_check.py:110::WinCheckResult,tests/test_analysis.py; tests/test_win_fan.py,tests/test_analysis.py::test_an03_strategy_best_min_shanten; tests/test_win_fan.py::test_w01_standard_win; tests/test_win_fan.py::test_w02_seven_pairs,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：规则层强约束可靠；缺门内部“更安全/少送牌”的细粒度顺序仍是近似策略,无已识别硬阻塞,P3,完成,`engine/legal.py`、win_check、blood_battle；强制出缺与禁止胡测试,规则层强约束可靠；缺门内部“更安全/少送牌”的细粒度顺序仍是近似策略
AU-014,动态做牌方向,方向是动态目标，不是固定牌型,人类化决策规则：第 7—14 章 / 7.1 做牌方向,"RP-019, RP-020",players/humanlike/plan.py; players/humanlike/cognition.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory,tests/humanlike_v2/test_cognition.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,具备 clear_dingque/fast_win/value_hand/defend/balanced 等标签；牌型空间明显少于源规则,无已识别硬阻塞,P3,部分完成,`plan.py`、`cognition.py`；计划惯性/重启测试,具备 clear_dingque/fast_win/value_hand/defend/balanced 等标签；牌型空间明显少于源规则
AU-015,花色环境,根据四家定缺组合判断两门可用牌环境,人类化决策规则：第 7—14 章 / 7.2 花色环境,RP-006～RP-018,protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; engine/opening.py; engine/legal.py; players/humanlike/evaluator.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,可读取四家定缺和公开副露；没有对源文档列出的全部定缺组合逐案编码和测试,无已识别硬阻塞,P3,部分完成,PlayerView dingque、belief suit pressure,可读取四家定缺和公开副露；没有对源文档列出的全部定缺组合逐案编码和测试
AU-016,逐家方向假设,为每名对手维护两门、清一色、七对、对对胡、听牌等假设,人类化决策规则：第 7—14 章 / 7.3 逐家方向,RP-006～RP-017,players/humanlike/plan.py; players/humanlike/cognition.py; players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py; players/humanlike/hand_analyzer.py; engine/shanten.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory; players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory; players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank; tests/test_f0011_integrated.py::test_fan_proxy_and_baseline_compat,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,F0010 有较丰富预测，但 Humanlike v2 生产决策只消费简化花色压力/危险度，不是完整贝叶斯假设分布,无已识别硬阻塞,P3,部分完成,F0010 hand prediction；Humanlike `PublicBelief`,F0010 有较丰富预测，但 Humanlike v2 生产决策只消费简化花色压力/危险度，不是完整贝叶斯假设分布
AU-017,动态调整,随手牌、公开牌、碰杠、对手进度和阶段调整,人类化决策规则：第 7—14 章 / 7.4–7.8 动态调整,RP-006～RP-020,players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py; players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py; engine/blood_battle.py,players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents; players/analysis/danger.py:29::rate_discard_danger; players/analysis/danger.py:68::danger_map_for_tiles; players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures,players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief; players/analysis/discard_accuracy.py:96::estimate_opponents; players/analysis/pipeline.py:46::estimate_opponents; players/analysis/danger.py:76::rate_discard_danger; players/analysis/pipeline.py:100::danger_map_for_tiles,tests/humanlike_v2/test_deterministic_policy.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank; tests/test_f0011_integrated.py::test_fan_proxy_and_baseline_compat,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,新观测会重算特征与计划；阶段性阈值和逐条策略未全部落地,无已识别硬阻塞,P2,部分完成,hand features、public belief、phase、plan restart,新观测会重算特征与计划；阶段性阈值和逐条策略未全部落地
AU-018,胡牌人数,胡后重估速度、风险和活动顺序,人类化决策规则：第 7—14 章 / 7.9 胡牌人数,"RP-018, RP-021",protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,规则顺序会更新；策略效用只间接反映，未实现完整“第几胡”收益曲线,无已识别硬阻塞,P0,部分完成,active seats、blood battle、PlayerView status,规则顺序会更新；策略效用只间接反映，未实现完整“第几胡”收益曲线
AU-019,比分与剩余局,领先求稳、落后追分、目标名次,人类化决策规则：第 7—14 章 / 7.10 比分/剩余局,"GP-027, RP-022",players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/cognition.py; players/humanlike/policy.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail,docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,分差会抑制噪声并进入部分评价；多局目标与剩余局数未形成完整 match utility,无已识别硬阻塞,P3,部分完成,scores、GP-027、score-gap 噪声门禁,分差会抑制噪声并进入部分评价；多局目标与剩余局数未形成完整 match utility
AU-020,玩家风格与水平,不同水平、风格影响候选、深度、风险与牌型,人类化决策规则：第 7—14 章 / 7.11 玩家风格/水平,GP-023～GP-026,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/cognition.py; players/humanlike/policy.py; players/humanlike/belief.py; players/analysis/opponent_model.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,参数确实影响候选/阈值/扰动；尚无足够行为案例证明所有风格维度均可辨识,无已识别硬阻塞,P2,部分完成,GP-023/026，profile 单调测试,参数确实影响候选/阈值/扰动；尚无足够行为案例证明所有风格维度均可辨识
AU-021,冲突与复核,速度、番数、防守、计划冲突时加权并持续复核,人类化决策规则：第 7—14 章 / 7.12–7.13 冲突与复核,"RP-019, RP-020, RP-024～RP-029",players/humanlike/plan.py; players/humanlike/cognition.py; players/humanlike/evaluator.py; players/humanlike/policy.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory; players/humanlike/evaluator.py:60::evaluate_candidates; players/humanlike/evaluator.py:28::EvaluationResult; players/humanlike/evaluator.py:20::ScoredCandidate,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory; players/humanlike/player.py:121::evaluate_candidates; players/humanlike/evaluator.py:109::EvaluationResult,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_clear_score_gap_disables_noise_and_think_time_is_bounded; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,有统一评分与复核机制；评分项是粗粒度代理，不是所有源规则冲突顺序,无已识别硬阻塞,P2,部分完成,Q evaluator、plan inertia/restart、trace,有统一评分与复核机制；评分项是粗粒度代理，不是所有源规则冲突顺序
AU-022,全番型配置,只考虑启用番型、叠加/互斥、封顶后的边际价值,人类化决策规则：第 7—14 章 / 7.14 全番型配置,GP-011～GP-020,engine/fan.py; players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; configs/fan_table.json,engine/fan.py:258::compute_fan; engine/fan.py:87::apply_fan_cap; engine/fan.py:59::FanTable; players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer,engine/blood_battle.py:368::compute_fan; engine/fan.py:334::apply_fan_cap; players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,规则计番支持常见番型与封顶；Humanlike 的价值评估未完整枚举配置番型关系,无已识别硬阻塞,P1,部分完成,`engine/fan.py`、fan table、hand_value proxy,规则计番支持常见番型与封顶；Humanlike 的价值评估未完整枚举配置番型关系
AU-023,活牌与摸牌机会,区分未见牌和估计墙内活牌，考虑剩余摸牌次数,人类化决策规则：第 7—14 章 / 7.15 活牌与摸牌机会,"RP-014～RP-018, RP-021",players/humanlike/runtime.py; players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event; players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents; players/analysis/danger.py:29::rate_discard_danger; players/analysis/danger.py:68::danger_map_for_tiles,players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief; players/analysis/discard_accuracy.py:96::estimate_opponents; players/analysis/pipeline.py:46::estimate_opponents; players/analysis/danger.py:76::rate_discard_danger; players/analysis/pipeline.py:100::danger_map_for_tiles,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_runtime.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank; tests/test_f0011_integrated.py::test_fan_proxy_and_baseline_compat,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,未见牌有实现；Humanlike 决策中墙内分配和摸牌上下界使用有限，不能视为精确概率模型,无已识别硬阻塞,P3,部分完成,belief unseen counts、runtime RP-018/021,未见牌有实现；Humanlike 决策中墙内分配和摸牌上下界使用有限，不能视为精确概率模型
AU-024,先胡与顺序,权衡先胡、做大、继续血战风险,人类化决策规则：第 7—14 章 / 7.16 先胡/顺序,"RP-022, RP-023",players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py; engine/blood_battle.py; engine/session.py; engine/orchestrator.py; engine/legal.py,players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents; players/analysis/danger.py:29::rate_discard_danger; players/analysis/danger.py:68::danger_map_for_tiles; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action,players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief; players/analysis/discard_accuracy.py:96::estimate_opponents; players/analysis/pipeline.py:46::estimate_opponents; players/analysis/danger.py:76::rate_discard_danger; players/analysis/pipeline.py:100::danger_map_for_tiles,tests/humanlike_v2/test_deterministic_policy.py; tests/test_blood_battle.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_illegal_action; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,能权衡速度和价值，但没有独立、可校验的胡牌顺序效用函数,无已识别硬阻塞,P2,部分完成,speed/value/defense 与 score,能权衡速度和价值，但没有独立、可校验的胡牌顺序效用函数
AU-025,主/备计划,同时维护主计划和备选计划，条件触发切换,人类化决策规则：第 7—14 章 / 7.17 主/备计划,"RP-019, RP-020",players/humanlike/plan.py; players/humanlike/cognition.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory,tests/humanlike_v2/test_cognition.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：有主备计划及惯性/重启；计划内容仍是有限标签集,无已识别硬阻塞,P2,完成,PlanSnapshot、CognitiveState、trace v2,有主备计划及惯性/重启；计划内容仍是有限标签集
AU-026,算牌顺序,先自己后别人，按信息可信度、阶段和已胡玩家更新,人类化决策规则：第 7—14 章 / 8.1–8.4 算牌顺序,RP-003～RP-021,engine/blood_battle.py; engine/session.py; engine/orchestrator.py; engine/legal.py,engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run,engine/blood_battle.py:146::active_seats; engine/blood_battle.py:162::next_active; engine/orchestrator.py:234::next_active; training/env.py:415::next_active; engine/session.py:77::apply_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_illegal_action,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,处理顺序明确且只用公开信息；可信度层级与完整事件影响多为启发式,无已识别硬阻塞,P3,部分完成,hand analyzer → belief → plan 管线；attention,处理顺序明确且只用公开信息；可信度层级与完整事件影响多为启发式
