superseded_delta_id,unit_id,supersession_status,replacement_delta_ids,reason,effective_from,may_be_used_by_development
LEGACY-SEM-PARAMETER-HEUR-005,HEUR-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-006,HEUR-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-007,HEUR-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-008,HEUR-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-009,HEUR-009,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-010,HEUR-010,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-011,HEUR-011,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-012,HEUR-012,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-013,HEUR-013,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-014,HEUR-014,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-015,HEUR-015,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-017,HEUR-017,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-018,HEUR-018,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-020,HEUR-020,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-021,HEUR-021,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-022,HEUR-022,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-023,HEUR-023,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-MODEL-002,MODEL-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-MODEL-003,MODEL-003,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-MODEL-004,MODEL-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-001,STATE-001,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-002,STATE-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-003,STATE-003,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-004,STATE-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-006,STATE-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-007,STATE-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-008,STATE-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-009,STATE-009,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-010,STATE-010,SUPERSEDED,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-011,STATE-011,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-STATE-012,STATE-012,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-SCORE-002,SCORE-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-SCORE-003,SCORE-003,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-SCORE-004,SCORE-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-SCORE-005,SCORE-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-SCORE-006,SCORE-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-001,TRAIN-001,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-002,TRAIN-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-004,TRAIN-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-005,TRAIN-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-006,TRAIN-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-007,TRAIN-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-008,TRAIN-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-TRAIN-009,TRAIN-009,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-001,AUDIT-001,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-002,AUDIT-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-004,AUDIT-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-005,AUDIT-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-006,AUDIT-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-007,AUDIT-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-008,AUDIT-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-009,AUDIT-009,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-010,AUDIT-010,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-011,AUDIT-011,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-013,AUDIT-013,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-AUDIT-014,AUDIT-014,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
