unit_id,delta_id,source_reference,acceptance_ids,code_symbols,test_references,runtime_evidence_ids,artifact_hashes,result,finding
STATE-001,TEST-STATE-001-02,B1-B-test-deltas,AC-03|04|06,MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-BOUNDARY|FAILURE,tests=3be28e67,PASS,
STATE-001,TEST-STATE-001-03,B1-B-test-deltas,AC-05|12,MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-DETERMINISM,tests=3be28e67,PASS,
STATE-001,TEST-STATE-001-04,B1-B-test-deltas,AC-07|09|10|13|14,PlayerGameRunner|MatchController,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE001-NORMAL,tests=3be28e67,PASS,
STATE-011,TEST-STATE-011-01,B1-B-test-deltas,AC-01|02|05|06|07|13,DealTransaction,tests/spec_v3/test_state_011.py,FINAL-E4-STATE011-NORMAL|FAILURE,tests=3be28e67,PASS,
STATE-011,TEST-STATE-011-02,B1-B-test-deltas,AC-03|04|12,DealTransaction|rng_v2,tests/spec_v3/test_b1b_remediation.py|test_b1a_algo011.py,FINAL-E4-STATE011-DETERMINISM,tests=3be28e67,PASS,
STATE-011,TEST-STATE-011-03,B1-B-test-deltas,AC-08|09|13,DealTransaction,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE011-FAILURE,tests=3be28e67,PASS,
STATE-011,TEST-STATE-011-04,B1-B-test-deltas,AC-10|11|14,PlayerViewBuilder,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE011-BOUNDARY,tests=3be28e67,PASS,
STATE-004,TEST-STATE-004-01,B1-B-test-deltas,AC-01|02|03,RoundStateMachine,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67,PASS,
STATE-004,TEST-STATE-004-02,B1-B-test-deltas,AC-05|06|07|08|09,RoundStateMachine|blood_battle,tests/spec_v3/test_b1b_remediation.py|test_blood_battle.py,FINAL-E4-STATE004-BOUNDARY|NORMAL,tests=3be28e67,PASS,
STATE-004,TEST-STATE-004-03,B1-B-test-deltas,AC-04|10|11,apply_legacy_transaction,tests/spec_v3/test_b1b_remediation.py,FINAL-E4-STATE004-FAILURE,tests=3be28e67,PASS,
STATE-004,TEST-STATE-004-04,B1-B-test-deltas,AC-12|13|14,PlayerGameRunner|audit_records,tests/spec_v3/test_b1b_remediation.py|audit_replay,FINAL-E4-STATE004-NORMAL|DETERMINISM,tests=3be28e67,PASS,
STATE-001,EVIDENCE-STATE-001-01,B1-B-evidence-deltas,AC-02|03|05|06|10|13,MatchController,final independent E4,FINAL-E4-STATE001-NORMAL|BOUNDARY|FAILURE|DETERMINISM,E4-final,PASS,
STATE-001,EVIDENCE-STATE-001-02,B1-B-evidence-deltas,AC-01|04|07|08|09|11|12|14,MatchController,final clean E5,FINAL-E4-STATE001-NORMAL|DETERMINISM,E5-final,PASS,
STATE-011,EVIDENCE-STATE-011-01,B1-B-evidence-deltas,AC-01|03|05|07|08|09|10|12|14,DealTransaction,final independent E4,FINAL-E4-STATE011-NORMAL|BOUNDARY|FAILURE|DETERMINISM,E4-final,PASS,
STATE-011,EVIDENCE-STATE-011-02,B1-B-evidence-deltas,AC-02|04|06|11|13,DealTransaction|PlayerViewBuilder,final clean E5,FINAL-E4-STATE011-BOUNDARY|DETERMINISM,E5-final,PASS,
STATE-004,EVIDENCE-STATE-004-01,B1-B-evidence-deltas,AC-02|04|05|06|07|09|10|12|13|14,RoundStateMachine,final independent E4,FINAL-E4-STATE004-NORMAL|BOUNDARY|FAILURE|DETERMINISM,E4-final,PASS,
STATE-004,EVIDENCE-STATE-004-02,B1-B-evidence-deltas,AC-01|03|08|11,RoundStateMachine,final clean E5,FINAL-E4-STATE004-BOUNDARY|FAILURE,E5-final,PASS,
