path,git_status,classification,source_task,related_units,approval_or_audit_reference,evidence_manifest_reference,sha256,byte_size,include_in_checkpoint,reason,risk,owner_decision_required
engine/score.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,SCORE-001,,,566f605ad7c1b2bcf2fb03c9c303a00270bacab9395a872561121f7f80845c17,16500,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
players/humanlike/__init__.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,B1-A_EXPORTS,,,227d58a5cdc87e661ca8a3c91af6bc127fc692528dad97c0dc700ed4592e15f2,1243,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
players/humanlike/attention.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,HEUR-019,,,3b4632a45058a859020da99bedf9eb8b4b2fd1232b349e948646bb66a3492677,5124,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
players/humanlike/belief.py, M,DEFER_TO_LATER_BATCH,MULTI_TASK_CODE,HEURISTIC_LATER_BATCH,,,856646c31a9678007b100f3e013f0942f5f3aec71dc4702c18c629455948c8f7,6278,false,Modified heuristic implementation is not uniquely attributed to an audited checkpoint unit,HIGH,false
players/humanlike/player.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,B1-A,STATE-010,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,8626b7cf9a1b253844a2f232aebbda3b83b3f1785bd109495aa32b75121cff50,9568,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",HIGH,false
players/humanlike/settings_service.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,B1-A,ALGO-009,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,b07eb9dc7f34393bf5cddc576a2318575a028d2c0c7d58a8c58b1d715e55c265,4308,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",HIGH,false
protocols/player_view_builder.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,STATE-005,,,95e1612af39ca755b53027240a14d6499060a72030f3bfeb8ce6ec1ada5cfa29,7901,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
protocols/player_view_v2.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,STATE-005,,,159b270c09315d9d677e8806932c801db8ca6cc9129f87d80ecabd184a8b0e69,2321,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
protocols/subprocess_transport.py, M,EXCLUDE_USER_OR_UNRELATED,FEATURE_OR_ENVIRONMENT_BRANCH,,,,7adb033ec07cb6f3ff6fff81fbac9551dff31b3f716b214bc87e62eb51784dee,18311,false,Separate feature/environment work without Task19 checkpoint authority,MEDIUM,false
tests/test_subprocess_compat.py, M,EXCLUDE_USER_OR_UNRELATED,FEATURE_OR_ENVIRONMENT_BRANCH,,,,4a5e64c40740478760486069badef746d51cc3ce3a1155816b403df3d5ace58e,2360,false,Separate feature/environment work without Task19 checkpoint authority,MEDIUM,false
training/action_codec_v2.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,TRAIN-003|AUDIT-003,,,1755b685586e18863cbc0c7e1b1eb8bf2f446598d1ec64c0f9e2ef87875730c6,2927,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
training/runner.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,B1-A,ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,2061904326f5243145afb9c82b094d0885d9156268a63db7f5fb916c6ddc6d9a,3824,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",HIGH,false
.venv-macos/bin/Activate.ps1,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,3795a060dea7d621320d6d841deb37591fadf7f5592c5cb2286f9867af0e91df,9033,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/activate,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,83488076e346b84509d6667915156ef5a9f11a16a71816f95bbbed8c1bbca3cd,2338,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/activate.csh,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,44b66761d4ef7264c9136f2e50f5a788522ec497527de7e211e2417231fffdce,1006,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/activate.fish,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,81c62e64ec5d643a89644713bf4a80065b0ee94c02730f4963331e9f1adc0194,2281,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/compile-python-for-nuitka-mac.sh,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,007ff7a66721cf8f54ddd8d42587f8fe2a40167e3bcf1a66410151a21cbac766,7168,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/f2py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,7ea70050f8f38f783ee57a4802ca4f7129a80f5bb247851bf4a2bb92ccfd2061,304,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/macho_dump,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,c5556eaca450af863ccdb37421998580b8d0f21297e8905644dfaacd03e604f9,302,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/macho_find,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,fcfad42200e78c03d823f65109a6f239df056624ffc0d7bab766f61eaecc901d,302,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/macho_standalone,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1c89e21461faec91b6843701060d9679424b1108db1dd73b16c0180af64e8c38,308,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/nuitka,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ee7e16d3f51ab3e8e94ba5715ba5f0d3eb310a80b87395d1c03de5916302342,298,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/nuitka-run,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ee7e16d3f51ab3e8e94ba5715ba5f0d3eb310a80b87395d1c03de5916302342,298,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/numpy-config,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,a6468ed588f2f94dc8ec3ba4fd42b721fb0427d3f93f43076a7c3939c19d4fcb,304,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pip,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,9c211513ca9bf965b3939525c656a725213166e4d3a7258f714a7ad11eb381a7,309,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pip3,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,9c211513ca9bf965b3939525c656a725213166e4d3a7258f714a7ad11eb381a7,309,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pip3.12,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,9c211513ca9bf965b3939525c656a725213166e4d3a7258f714a7ad11eb381a7,309,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/py.test,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,8b5cac7772a2f6a8ee31fe1d70b79c38df2d35e43c1e497e687eda5f44ed0ed3,319,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pygmentize,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,29b8313e2c71b187b14d6ef540385f63c0313ddb6346ff2af607628bd9f88b6d,303,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyi-archive_viewer,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,33e662c75b04e1a40e0c2ca21d177324d96004d9434f47caaaff55de309b9359,322,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyi-bindepend,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,72b6e6cbab7dfab461e8128296ae3c9edf34c940a2751fb5a9adb4edc388071c,317,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyi-grab_version,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,157c45fa4394eee76903b493fa122600d7fd7d991fadb09bf8102ffdbe8ac91c,320,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyi-makespec,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,676f2972c2b4739f909c9f8ee2ee889e753dbf72a8ed4b5d0f5f426e9ed4edd6,316,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyi-set_version,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,63b7cb243f60c1b25e40404ea05ca6c0edc7560837394a8ca8b8a9ae3c0441b3,319,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pyinstaller,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,c1f22194dc37107d22f469090e5387b77f3fe7b5a640682b387b96fa9af52165,333,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/pytest,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,8b5cac7772a2f6a8ee31fe1d70b79c38df2d35e43c1e497e687eda5f44ed0ed3,319,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/python,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ce7aea77992ab97bb6225339a1d72a79925d5641e461cdfc2584916119a7edb,52448,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/python3,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ce7aea77992ab97bb6225339a1d72a79925d5641e461cdfc2584916119a7edb,52448,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/python3.12,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ce7aea77992ab97bb6225339a1d72a79925d5641e461cdfc2584916119a7edb,52448,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/bin/wheel,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,a6b0c48705396468aa53d22dfefde5082e42e43861cbf2f790d14716ccfb1a79,298,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/_blit_info.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,c111d15f143d93b3413071cfca6b52b58b88f0faf0a9b76ed23134828baa5187,470,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/_camera.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,4f455801f4319b4738cf0c3f0596891b3e1ec5ae33d057447f745237f5b613e1,839,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/_pygame.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,52144917613b5bc0957ca016e5cc9204ec5ff2dbf3c805f4b438c4854ac93de3,11726,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/_surface.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,05b8bdad6d12ab01ace931c80f497a781e5dfb987e9315bbe75ed376aa311193,957,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/camera.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,4833532d4a79aa3e471d9cab7cd47c7feb7e96948d1f18f71173be5aa40d3d8a,5605,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/font.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,54770a858b481ddb9e8135c47f585b99bc42c0de48aeab09721d876b112d07a2,348,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/freetype.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,2db198eac6a3f686a4ca87864a55a58ab487c923a97a84ca28e17e0cee332d1b,3245,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/_pygame.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,9f5fc8fda30c034178306d42f94a6e4d9daa49eea5b9feefb76a48a4eb983e8e,30436,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/bitmask.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,b46cd8c19e34eec3081c3406ef17970500919a1659e30a7ec937ab8549889425,4952,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pgcompat.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,97e02dea22c653c11e32a61db033004d2db37e4be25d67b546cee59cec0eee87,1944,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pgimport.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,dd5ad4c8e642ea46c474e7179f541b399de7bac040b85490c5880369d1cd4cf2,2636,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pgplatform.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,e32e410cad6829e2b68b9a4edd47d901b657bff29d35d728e5905baed06caed7,2312,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,3ac11cff334f1655e8e28c0e84646a1f871bb9832d349ffb2bd77f4defbe3845,1245,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame_bufferproxy.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,3e887b1ec223ba0a3734578a8c8b597b8d3f05abc5e55eeb7bc6d516392999f5,1834,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame_font.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,24a3db0c541d87f040bb3e45f52dfb8814996df8e72f6b1c525912d6078b778b,1501,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame_freetype.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,54dcafcbbc6e90d397ca683720c6677bdfa256edec2392ef28b6a07e45a92809,1346,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame_mask.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,38d5c8cf733730f1780653d24b6c51aaecac1188d965fec03f6251ae8f23e08d,1303,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/pygame_mixer.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1ed840ed24daf532e89b0410b30ae8c8098077bda9cb00eefd408b7c857bd62b,2021,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/include/sse2neon.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,0dc6b36662df9f2e8c54914852559bb1d237f59590586c260890ee144559b30d,237885,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/mask.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,63b3aaccd52a4101dc854b1296f77e8dae5df488007d2576b8595a6bcff92f2b,153,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/mixer.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,1c931dd07a340eb74605d3cc0e8fde812aa45716675193cc110c8f24c230ebf3,348,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/palette.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,773011608b1074701a57cca90ab41b6115858ac5d85c0043e13a0c97360aa238,7057,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pgarrinter.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,6a5b30ee9e97eee90e075a3772eaf2ae358e7061e05424200af4b50fd16d8917,1060,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pgbufferproxy.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,b6a30391d907e34428609dcdb538e292702748c8748b5b1f34c6a8c379e9bca2,179,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pgcompat.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,468ea427a6a4d8b4121d1e0b9b09ee968946b903b4296e94662bb4da23fed7f2,737,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pgopengl.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,6db232b1b2e9879a5a3df784da79eb40122babc899cf84f8a467f3da660fb91c,606,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pgplatform.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,2ee67134c6c36110a08c3935febb8d4ce890b323bf15c23dab136d25e014a574,553,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/pygame.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,010719588a0058698df5f601ca7097c5cf3585df65730c41c167aaf166634ca1,1083,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/scrap.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,777e995a9e4b33ba3d451707085887c004f468964dfdcd7bc1336efcb607b841,4704,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/simd_blitters.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,f01bf88f4b877f812b64c7897978e7ae756f28141d48b98a72b11581b60994f7,2494,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/include/site/python3.12/pygame/surface.h,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,e86a2ad96be7c01fe6628b22ab8c19308ccf5e7eeea02c80fdf4cae2e2ad7fa2,14584,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/AppKit/_AppKit.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,805cf2012544e1522200f77a8aa9622014ce5663eec50de0b9794173c07ff496,499712,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/AppKit/__init__.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,39abe0beed604b3d0ec9c8a65db2d46722c47160cfa716b56166cf66a1b270fc,7960,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/AppKit/_inlines.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,d5992e030a58dc0e4a1af6b747ed76210cbf0edec733191f887c02e35c65b80b,67536,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/AppKit/_metadata.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,30922d15cbd0661e0bc129747e8c5e3688c689f8f08560e3eca61e050ad05c16,806678,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/AppKit/_nsapp.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,d61a395830f19efd05f09029c65b2318d02250d5c041b0892a07626e73ee3dd9,663,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Cocoa/__init__.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,e790e1f18f8928821a767489a40fbebfca7e92bce14e72f7c0c5e974b0fe4953,614,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/CoreFoundation/_CoreFoundation.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,d845e991fc1cce682bbb0e7396510be5ff4d883d005a71e17f7e13601e473d3b,166968,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/CoreFoundation/__init__.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,e0c1f5dddeef99a56bc7b529de8ec8dbd9c26e0fed91c2e21d5523bcf1e4fced,966,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/CoreFoundation/_inlines.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,f691f8bd71305cf8dbc2df697c06bba696dc5cd6f06b9bbe95f984df1654430a,88576,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/CoreFoundation/_metadata.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,96435e53f9ebfda365e57e3a1b8de6b2e5c3bc4cbd87d405613e72a5f59604cb,154646,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/CoreFoundation/_static.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,5413c005ad61cf9329322152e8d4d6996a7a8ef8c1499077a5565bca517e3f80,2880,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_Foundation.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,a3a26110ba57c24e1a4d35a187c17f4d30dd1f114fdc6065272622a246a6b5ca,173808,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/__init__.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,99e93886805950bd4415e4dd61f0ad6cebe718412c8f5650419d2f5309bcfd5e,6896,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_context.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,17e3938aa07509bd967f9c5668549c80d39ff144910caaff54acc9a5c25d88da,713,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_functiondefines.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,9fd94b2a334e759d866fb78a62bd15ed3aa7ccfba7c84eb8639da7eeacc320c1,1506,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_inlines.cpython-312-darwin.so,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,2ea30b28d55d757692dfb6e289d5303c764bb79f4d18283d86a0aa0b48267c40,90992,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_metadata.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,5904a5b560f99811fecd6cf12e5cd2e332c6122fa576532ee82e5616219c93a3,478985,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_nsindexset.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,dbe1165eeae7d813187f2c0c24b0d6c31407142db544a83deb01c1d35cbf90d8,394,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_nsobject.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,fb0e6474905bec7f81172de583d063bcbc849589fab4adff985477df00486f79,8191,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/Foundation/_nsurl.py,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,b02023e99533c18adbaa1278db9e2ba1aeb65e0a508ebcf63fa8ff2558b124e6,603,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/PIL/.dylibs/libXau.6.dylib,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,002a604dc76919d6606c610be703a6547d78dd0f401639c9e95e5a79227190bf,69760,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/PIL/.dylibs/libavif.16.4.2.dylib,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,ee0124cb07fb6419ed743cf9658b25211f7cc87d9081ad3e9416100db02c3c09,3031984,false,Virtual environment/cache/local binary,HIGH,false
.venv-macos/lib/python3.12/site-packages/PIL/.dylibs/libbrotlicommon.1.2.0.dylib,??,EXCLUDE_ENVIRONMENT,LOCAL_ENV,,,,3f4843c17f3cccc986279a4c9ac8a11dc3077c412fd856d1bad8231bf027a25f,183712,false,Virtual environment/cache/local binary,HIGH,false
