path,git_status,classification,source_task,related_units,approval_or_audit_reference,evidence_manifest_reference,sha256,byte_size,include_in_checkpoint,reason,risk,owner_decision_required,resolved_classification,resolved_related_units,resolved_include,resolution_reason,remaining_decision
protocols/player_view_builder.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,95e1612af39ca755b53027240a14d6499060a72030f3bfeb8ce6ec1ada5cfa29,7901,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,STATE-005,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
protocols/player_view_v2.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,159b270c09315d9d677e8806932c801db8ca6cc9129f87d80ecabd184a8b0e69,2321,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,STATE-005,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
training/action_codec_v2.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,1755b685586e18863cbc0c7e1b1eb8bf2f446598d1ec64c0f9e2ef87875730c6,2927,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,TRAIN-003|AUDIT-003,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
training/runner.py, M,REQUIRES_AUDIT_RECHECK,B1-A,STATE-010|ALGO-009|ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,2061904326f5243145afb9c82b094d0885d9156268a63db7f5fb916c6ddc6d9a,3824,false,B1-A trace references file but no full per-file audit hash is available,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,ALGO-011,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",false
docs/spec-v3/audit/B1-B_defects.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,abb61acc49e9770bb9b721772a72a11a33235530d8f077d8bee7fe4dfdddf6d4,67,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/B1-B_final_independent_audit_report.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,cd0b814aff8440be290bf9ef8e4baea10e06b1abef57144b7d8fdbfddd9ac7d8,4683,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/B1-B_independent_audit_report.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,595bef42bb76f92b1fb883a1705e5a490b5cf3662ecfc936d7daed8f665d69de,1854,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/B1-B_test_results.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,4c686ba569a29abee5c27c8a8586a7880a173bf65db513499d2b252ea6657eac,2744,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/B1-B_unit_results.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,f7061c9d2fc355716ce8ae870910c8de8d99c522a9c788c45e7fc1fc1a21d652,296,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task17_96_unit_audit_clarification.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,5d00945f4b3aa09505b0cfee2b4879683af75411c313a6f83da2ec257aced0cf,8533,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK15-17,true,Task 15-17 verification provenance,false
docs/spec-v3/audit/task17_full_junit.xml,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,15fd5dd19b4dd54af9ae2cc05467609d965509f04f4f3bf5efcd34c7c9440961,42780,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK15-17,true,Task 15-17 verification provenance,false
docs/spec-v3/audit/task18_b1a_audit_status_delta.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,d9d654d97bf7f5b32b0685d69a62dd6a3c1c179dcfd2c9254d18802910b50364,913,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_b1b_acceptance_audit.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,73234bf17bd3d322ce249610644683106bc5b216adf9b866ecd7851a891ccaa0,6511,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_b1b_audit_findings.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,3356ac73cb3a641858deb2621920b0e63f0d08552d6e853dd584e5721c5cb135,2444,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_b1b_audit_status_delta.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,207e818c05c33a667c3f47b87c52ea10d72e123512a13997134cec9149b1f08a,346,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_b1b_independent_audit_report.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,b48eb0f9dbdf44e9a205d54265c53de2d7bbc132694281f4435311eff46adfd2,1964,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_current_96_unit_status.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,3dc5f4fb9df5841d02c95f7a9944f18015d26e2a027f03f5b27e64a4cc72c4ea,10563,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_current_96_unit_status.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,79f3308f9acd0232cdfad3a304a032ae1e4fb160fc5c57f48ad7eec5f78aae58,1432,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_current_96_unit_status_summary.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,41a169167c677fe565f68b030c2211dbb4ee4b1bd9478066c16ed6bb8a84f643,962,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/task18_current_status_view.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,7da0c81dc55ef1eda886e2d8d2f776357ee4ba57f01a3fd5739174143056c4f5,1531,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/unit_catalog_v3.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,80b56efa2a3a19b79bccd13ba8719a391cab9f178ec0987b74f529a2e18ad3e4,48016,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/unit_dependency_graph.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,b6cefd68fea3413583970a967a6048118c06102eda5b67ae9a34616c350be280,8818,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/unit_gap_matrix_v3.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,507dc8755cbadc3a21943f92b2e40c328fcab7e8e0b43e94f8be979f1cfc7d43,263827,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/unit_rebaseline_report.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,0b7338aab44dc88992a19721ae5d9a23a07889a145e4039953572eb255525604,5509,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/audit/unit_rebaseline_summary.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,980bc913a0a3660af7012e84c9bfcfaeff20d91c5bee8fc072b5481ef7661243,5854,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/decisions/B1-B_STATE004_authority_adapter_decision.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,bd4edece137ec0ca71213d17a25aadc1a735079b5823dccf50d00351238be350,3032,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/decisions/MODEL-001_sim_label_approval_form.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,5f54c739b26136cf7851f8180c931e96ce1b75e916bd521ff0238073de20c948,654,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_MODEL001_BASELINE,MODEL-001,true,MODEL-001 engineering/data-gate baseline,false
docs/spec-v3/decisions/MODEL-001_sim_label_decision_pack.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,a63d34d658d18a55fada10a32004aa0df3c4d24582675f22d74efe9af182054e,2609,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_MODEL001_BASELINE,MODEL-001,true,MODEL-001 engineering/data-gate baseline,false
docs/spec-v3/decisions/MODEL-001_sim_label_examples.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,154bdc3b0eace803fdfdf48e895f51e96c42a79b71ca5f01f1b7ad84fe17bbe7,1339,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_MODEL001_BASELINE,MODEL-001,true,MODEL-001 engineering/data-gate baseline,false
docs/spec-v3/decisions/STATE-011_legacy_deal_golden_approval.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,6312780368b3c77024116a27bdfe3d511e1a003ee023fc71b915c692486dfbdf,883,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1a/B1-A_E5_manifest.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,75c6d7d6d233b7b3f4083d663e3caa1a4811111bedc3f0afdd2ee43358292b11,994,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1a/B1-A_evidence_manifest.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,57edd1e41cf28652304c6f4e185474ba338b3629d0e396881cc6a5ac888e9ec1,418,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1a/B1-A_golden_execution.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,712816cbc918b5d8396fd4d60ea9e8f3d3193dc2dbb187eadcbd19eea7c9a642,3307,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1a/B1-A_performance_baseline.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,30485b2d3c10152559b8daaea1ac7556faebdb303e0fd1c0f58e6c86deba9ab2,738,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b/B1-B_E4_runtime.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,9c06c00d4edab1910fa2658fd6574e484f530e2a9507b83f3a763ecc800147ef,2086,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b/B1-B_E5_trace.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,ecf739eb92521d856d90e7efd75fa30718a1dfdbcc29ff33bdd07390ef5eda0d,1212,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b_independent/B1-B_AC_results.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,36466150179497628046eebd4d9f0f8a5be729f574aadbbf4342190fbbd6fc4e,3607,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b_independent/B1-B_E5_trace.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,ecabc780baa964ecda9a5a27d29bd41556114e4916a2ad9657b916a897fede49,7234,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b_independent/B1-B_evidence_manifest.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,5d445813f54035cc883e5449d3accd6a473071f5112921cd86bcdbf48f68871d,1081,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/evidence/task18b_b1b_independent/B1-B_evidence_validation.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,a74c38aee972a8894b5f1ba53f60caccadeb80f81d9937849598fa9d17a38649,886,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/B1-B_completion_and_queue_refresh.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,5f098d78e954b9792b88a89cbfbfc9e5490f857168da1a87184574c7a40a822a,864,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/development_batches_v3.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,d7dba0a253f3c726d8d93c50c626f9f995c400498db272086188b86e0d721e5c,22008,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/development_batches_v3.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,72f17d4eab95f951770f4d9691db66e68f2092c33172ad6d80222d3dfb9587db,5101,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/model001_data_track.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,5c30f3a6f1150538a1cdb127c616625d6e7b0af225020c7acd638662690cb6e7,1844,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_MODEL001_BASELINE,MODEL-001,true,MODEL-001 engineering/data-gate baseline,false
docs/spec-v3/plans/task18_execution_authorization.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,9f4e47fd60df9f2c9e4ecdea92fa92742ff9aa9464a509d46a972b007332ca8e,668,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/task18_execution_queue.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,01aa25f4b2c79c919ee69d10c0736021f6d49015ba3a2dc045e3355065a0070e,25661,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/task18_execution_queue_current.json,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,40095bf54c222c656050d6838c4c6b288e631f3ba0262591f24d278eb9979813,28384,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/task18_execution_queue_current.md,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,633eb14e474a55bb3f139b750c5102a2f9642ce87ec90f12e6913d5ac027a636,1197,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
docs/spec-v3/plans/task18_gap_classification.csv,??,REQUIRES_OWNER_DECISION,TASK15-19/MODEL001,,,,2596720d73d68d2765fbd742d807d97428802e778f973c96e688163740e27130,216864,false,Spec-v3 artifact exists but is not uniquely attributable to audited B1-A/B1-B or approved B2-A1,MEDIUM,true,INCLUDE_REQUIRED_PROJECT_HISTORY,TASK18_HISTORY,true,"Task 18/B1-A/B1-B semantic, audit, evidence, status, or queue provenance",false
