unit_id,unit_name,category,task17_status,current_status,status_source,evidence_refs,effective_date
ALGO-011,game_id 到牌墙、骰子及子随机流的确定映射,ALGO,PARTIAL,AUDITED,TASK18-B1A-AUDIT-DELTA-1,docs/spec-v3/reports/B1-A_acceptance_audit_matrix.csv; tests/spec_v3/test_b1a_algo011.py; docs/spec-v3/evidence/task18b_b1a/B1-A_E5_manifest.json,2026-07-30
HEUR-001,换三张候选评价,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-002,定缺花色评价,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-003,动态风格调节,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-004,初始做牌方向形成,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-005,主备计划生命周期,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-006,定缺花色环境评估,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-007,公开事件驱动的逐家方向更新,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-008,整场比分与剩余局效用调节,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-009,先胡、做大和血战顺序效用,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-010,多目标冲突复核,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-011,番型边际做牌价值,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-012,碰牌策略评价,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-013,杠牌策略评价,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-014,出牌牌效与结构保留策略,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-015,防守偏好与安全牌选择,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-016,行为序列推断,HEUR,SCAFFOLDED,SCAFFOLDED,TASK17-REBASELINE,,2026-07-30
HEUR-017,思考节奏生成,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-018,安全牌储备、扣牌与信息表达,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-019,Top-K 有限注意分配,HEUR,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;decision trace attention explanation,2026-07-30
HEUR-020,有界记忆衰减与强化,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-021,有限推演与满意停止,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-022,人格、水平与情绪状态消费,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
HEUR-023,有界近似选择与人类失误,HEUR,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
MODEL-001,逐对手归一化方向/牌型假设,MODEL,INTEGRATED,INTEGRATED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;43-decision replay,2026-07-30
MODEL-002,逐对手听牌/等待/损失风险模型,MODEL,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
MODEL-003,仅公开信息的跨局对手画像学习,MODEL,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
MODEL-004,可训练策略输入输出契约,MODEL,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
MODEL-005,训练模型产物版本、冻结和评估生命周期,MODEL,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-001,Match 配置冻结、玩家装配与整场控制,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-002,权威 RoundState 存储与授权访问,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-003,PlayerRoundState 手牌、副露、定缺与过胡状态,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-004,CONFIGURED→SETTLED 状态机,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-005,不可变 PlayerView 状态载体,STATE,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;production view boundary,2026-07-30
STATE-006,策略侧认知运行态初始化与归档,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-007,存档 schema 持久化与迁移,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-008,跨局比分、认知和 episode 状态继承,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-009,决策请求上下文与生命周期,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-010,GP/RP/Profile 注册与生命周期,STATE,PARTIAL,AUDITED,TASK18-B1A-AUDIT-DELTA-1,docs/spec-v3/reports/B1-A_acceptance_audit_matrix.csv; tests/spec_v3/test_b1a_state010.py; docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,2026-07-30
STATE-011,牌墙构建、洗牌与初始发牌,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
STATE-012,策略超时、崩溃与合法默认动作回退,STATE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
SCORE-001,分数账本分层与守恒,SCORE,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;score production path,2026-07-30
SCORE-002,自摸、点炮与抢杠胡计分,SCORE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
SCORE-003,明/暗/补杠与呼叫转移计分,SCORE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
SCORE-004,花猪、查大叫与退税终局调整,SCORE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
SCORE-005,封顶、互斥和转移结算顺序,SCORE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
SCORE-006,单局总分、整场累计与排名,SCORE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-001,复用生产规则的训练包装,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-002,Observation v2 编码,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-003,固定动作 codec 与 legal mask,TRAIN,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;training regression,2026-07-30
TRAIN-004,非法训练动作处理契约,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-005,真实得分与可见势能奖励契约,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-006,单 learner reset/step/mask/clone/restore,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-007,多玩家 ActionMap 与自博弈调度,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-008,离线 BC 与回放 RL 数据消费,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
TRAIN-009,房规、profile 与行为域随机化,TRAIN,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-001,全原子规则事件日志,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-002,AI 决策解释日志,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-003,canonical hash 链与篡改检测,AUDIT,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/run_a+run_b;43 decisions identical,2026-07-30
AUDIT-004,同配置/seed/事件的确定性回放,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-005,每事件强制不变量执行,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-006,直接规则与接口测试证据门禁,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-007,属性式生成、缩减与不变量证据,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-008,锁定来源逐章 golden-case 对照,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-009,工程与行为回归指标,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-010,来源→参数→实现→测试全链追踪,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-011,版本、迁移与发布物完整性,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-012,强度、真人相似和学习效果外部评价,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-013,模块依赖、接口与信息流架构契约,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
AUDIT-014,证据数据保留、脱敏与新鲜度管理,AUDIT,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
