unit_id,unit_name,category,track_id,batch_id,parallel_wave_id,assigned_terminal,current_status,completion_path,dependencies,cross_track_dependencies,design_status,implementation_authorization,next_action,design_state,implementation_state,verification_state,audit_state,computed_done,state_note
RULE-012,强制胡与最后阶段必胡,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-013,多人响应确定性优先级,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|RULE-007|RULE-009|RULE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-014,血战胡后退出、继续与终止,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-005|RULE-010|STATE-004,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-015,启用番型、互斥/叠加与封顶规则,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-002,手牌分解、向听、弃牌向听与等待形状,ALGO,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-003,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,APPROVED,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-003,去重可见牌与未见牌聚合,ALGO,TRACK-DETERMINISTIC,T19-D10,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-004,墙内活牌区间或估计,ALGO,TRACK-DETERMINISTIC,T19-D10,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-005,逐座剩余摸牌机会估计,ALGO,TRACK-DETERMINISTIC,T19-D11,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-005|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-006,mandatory 分类、候选上限与稳定排序,ALGO,TRACK-DETERMINISTIC,T19-D03,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-007,六分量候选 Q 评价,ALGO,TRACK-DETERMINISTIC,T19-D11,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-003|ALGO-005|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
ALGO-008,seed、噪声、思考时间与随机流确定派生,ALGO,TRACK-DETERMINISTIC,T19-D12,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-011|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-001,换三张候选评价,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-003|RULE-002,ALGO-002|ALGO-003|RULE-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-002,定缺花色评价,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-003,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-003,动态风格调节,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-022|STATE-001|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-004,初始做牌方向形成,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|HEUR-022,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-005,主备计划生命周期,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-004|STATE-006,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-006,定缺花色环境评估,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-007,公开事件驱动的逐家方向更新,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-006|MODEL-001|STATE-005,MODEL-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-008,整场比分与剩余局效用调节,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-006|STATE-001,SCORE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-009,先胡、做大和血战顺序效用,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-005|HEUR-008,ALGO-002|ALGO-005,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-010,多目标冲突复核,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-007|HEUR-005|HEUR-008,ALGO-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-011,番型边际做牌价值,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-015,ALGO-002|RULE-015,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-012,碰牌策略评价,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-007,ALGO-002|RULE-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-013,杠牌策略评价,HEUR,TRACK-HEURISTIC,T19-H07,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,MODEL-002|RULE-008|RULE-009|SCORE-003,MODEL-002|RULE-008|RULE-009|SCORE-003,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-014,出牌牌效与结构保留策略,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|HEUR-005|RULE-003,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-015,防守偏好与安全牌选择,HEUR,TRACK-HEURISTIC,T19-H07,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-022|MODEL-002,MODEL-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-016,行为序列推断,HEUR,TRACK-HEURISTIC,T19-H08,W11,Terminal 2,SCAFFOLDED,PATH-FULL-IMPLEMENTATION,HEUR-020|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,SCAFFOLDED,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-017,思考节奏生成,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-008|HEUR-022|STATE-009,ALGO-008|STATE-009,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-018,安全牌储备、扣牌与信息表达,HEUR,TRACK-HEURISTIC,T19-H09,W14,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-015|HEUR-016,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-020,有界记忆衰减与强化,HEUR,TRACK-HEURISTIC,T19-H03,W10,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-005|STATE-006,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-021,有限推演与满意停止,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|ALGO-007|HEUR-019,ALGO-006|ALGO-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-022,人格、水平与情绪状态消费,HEUR,TRACK-HEURISTIC,T19-H03,W10,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-006|STATE-010,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
HEUR-023,有界近似选择与人类失误,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|ALGO-007|ALGO-008|HEUR-022,ALGO-006|ALGO-007|ALGO-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
MODEL-001,逐对手归一化方向/牌型假设,MODEL,TRACK-EXTERNAL-DATA,T19-X01,W11,Terminal 3,INTEGRATED,PATH-EXTERNAL-DATA,ALGO-003|HEUR-020|STATE-005,ALGO-003|HEUR-020,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,IMPLEMENTED,PASS,PASS,False,derived_conservatively; evidence review required
MODEL-002,逐对手听牌/等待/损失风险模型,MODEL,TRACK-MODEL,T19-M01,W12,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-003|ALGO-004|MODEL-001,ALGO-003|ALGO-004,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
MODEL-003,仅公开信息的跨局对手画像学习,MODEL,TRACK-MODEL,T19-M01,W12,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-020|RULE-016|STATE-008,HEUR-020|STATE-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
MODEL-004,可训练策略输入输出契约,MODEL,TRACK-MODEL,T19-M02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-002|TRAIN-003,TRAIN-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
MODEL-005,训练模型产物版本、冻结和评估生命周期,MODEL,TRACK-MODEL,T19-M03,W13,Terminal 1,PARTIAL,PATH-EXTERNAL-DATA,AUDIT-011|MODEL-004|TRAIN-008,AUDIT-011|TRAIN-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-002,权威 RoundState 存储与授权访问,STATE,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-004|STATE-011,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,APPROVED,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-003,PlayerRoundState 手牌、副露、定缺与过胡状态,STATE,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-002,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,APPROVED,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-006,策略侧认知运行态初始化与归档,STATE,TRACK-DETERMINISTIC,T19-D13,W09,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-001|STATE-005|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-007,存档 schema 持久化与迁移,STATE,TRACK-DETERMINISTIC,T19-D14,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-009|STATE-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-008,跨局比分、认知和 episode 状态继承,STATE,TRACK-DETERMINISTIC,T19-D13,W09,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-006|STATE-001|STATE-006,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-009,决策请求上下文与生命周期,STATE,TRACK-DETERMINISTIC,T19-D03,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-004|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
STATE-012,策略超时、崩溃与合法默认动作回退,STATE,TRACK-DETERMINISTIC,T19-D14,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
SCORE-002,自摸、点炮与抢杠胡计分,SCORE,TRACK-DETERMINISTIC,T19-D07,W06,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|RULE-015|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
SCORE-003,明/暗/补杠与呼叫转移计分,SCORE,TRACK-DETERMINISTIC,T19-D07,W06,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-008|RULE-009|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
SCORE-004,花猪、查大叫与退税终局调整,SCORE,TRACK-DETERMINISTIC,T19-D08,W07,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-004|RULE-015|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
SCORE-005,封顶、互斥和转移结算顺序,SCORE,TRACK-DETERMINISTIC,T19-D08,W07,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-015|SCORE-002|SCORE-003|SCORE-004,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
SCORE-006,单局总分、整场累计与排名,SCORE,TRACK-DETERMINISTIC,T19-D09,W08,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-001|SCORE-005|STATE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-001,复用生产规则的训练包装,TRAIN,TRACK-TRAINING,T19-T01,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-001|STATE-004,RULE-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-002,Observation v2 编码,TRAIN,TRACK-TRAINING,T19-T01,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-010|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-004,非法训练动作处理契约,TRAIN,TRACK-TRAINING,T19-T02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-005,真实得分与可见势能奖励契约,TRAIN,TRACK-TRAINING,T19-T02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-001|TRAIN-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-006,单 learner reset/step/mask/clone/restore,TRAIN,TRACK-TRAINING,T19-T03,W05,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-001|TRAIN-002|TRAIN-003|TRAIN-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-007,多玩家 ActionMap 与自博弈调度,TRAIN,TRACK-TRAINING,T19-T04,W06,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-013|TRAIN-006,RULE-013,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-008,离线 BC 与回放 RL 数据消费,TRAIN,TRACK-EXTERNAL-DATA,T19-X02,W12,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-014|TRAIN-002|TRAIN-003,AUDIT-014,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
TRAIN-009,房规、profile 与行为域随机化,TRAIN,TRACK-TRAINING,T19-T03,W05,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-011|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
AUDIT-001,全原子规则事件日志,AUDIT,TRACK-AUDIT,T19-A01,W10,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-002|STATE-004,STATE-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
AUDIT-002,AI 决策解释日志,AUDIT,TRACK-AUDIT,T19-A01,W10,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-007|STATE-006|STATE-009,ALGO-007|STATE-006|STATE-009,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
AUDIT-004,同配置/seed/事件的确定性回放,AUDIT,TRACK-AUDIT,T19-A02,W05,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-008|AUDIT-003|STATE-007,ALGO-008|STATE-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
AUDIT-005,每事件强制不变量执行,AUDIT,TRACK-AUDIT,T19-A02,W05,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|RULE-001|SCORE-001|STATE-004,RULE-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
