unit_id,unit_name,category,track_id,batch_id,parallel_wave_id,assigned_terminal,current_status,completion_path,dependencies,cross_track_dependencies,design_status,implementation_authorization,next_action,duplicate_matrix_rows,tracker_reference,discrepancy_type
AUDIT-009,工程与行为回归指标,AUDIT,TRACK-AUDIT,T19-A05,W08,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-004|TRAIN-006,TRAIN-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-010,来源→参数→实现→测试全链追踪,AUDIT,TRACK-AUDIT,T19-A04,W07,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-011,版本、迁移与发布物完整性,AUDIT,TRACK-AUDIT,T19-A05,W08,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-009|AUDIT-006|AUDIT-010|STATE-007,STATE-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-012,强度、真人相似和学习效果外部评价,AUDIT,TRACK-EXTERNAL-DATA,T19-X03,W14,Terminal 3,PARTIAL,PATH-EXTERNAL-DATA,AUDIT-009|AUDIT-014|MODEL-005,MODEL-005,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-013,模块依赖、接口与信息流架构契约,AUDIT,TRACK-AUDIT,T19-A06,W11,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-010|RULE-016|TRAIN-001,TRAIN-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-014,证据数据保留、脱敏与新鲜度管理,AUDIT,TRACK-AUDIT,T19-A06,W11,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-001|AUDIT-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-001,换三张候选评价,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-003|RULE-002,ALGO-002|ALGO-003|RULE-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-002,定缺花色评价,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-003,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-003,动态风格调节,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-022|STATE-001|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-004,初始做牌方向形成,HEUR,TRACK-HEURISTIC,T19-H01,W11,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|HEUR-022,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-005,主备计划生命周期,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-004|STATE-006,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-006,定缺花色环境评估,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-007,公开事件驱动的逐家方向更新,HEUR,TRACK-HEURISTIC,T19-H04,W12,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-006|MODEL-001|STATE-005,MODEL-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-008,整场比分与剩余局效用调节,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-006|STATE-001,SCORE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-009,先胡、做大和血战顺序效用,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-005|HEUR-008,ALGO-002|ALGO-005,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-010,多目标冲突复核,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-007|HEUR-005|HEUR-008,ALGO-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-011,番型边际做牌价值,HEUR,TRACK-HEURISTIC,T19-H02,W09,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-015,ALGO-002|RULE-015,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-012,碰牌策略评价,HEUR,TRACK-HEURISTIC,T19-H05,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-007,ALGO-002|RULE-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-013,杠牌策略评价,HEUR,TRACK-HEURISTIC,T19-H07,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,MODEL-002|RULE-008|RULE-009|SCORE-003,MODEL-002|RULE-008|RULE-009|SCORE-003,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-014,出牌牌效与结构保留策略,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|HEUR-005|RULE-003,ALGO-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-015,防守偏好与安全牌选择,HEUR,TRACK-HEURISTIC,T19-H07,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-022|MODEL-002,MODEL-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-016,行为序列推断,HEUR,TRACK-HEURISTIC,T19-H08,W11,Terminal 2,SCAFFOLDED,PATH-FULL-IMPLEMENTATION,HEUR-020|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-017,思考节奏生成,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-008|HEUR-022|STATE-009,ALGO-008|STATE-009,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-018,安全牌储备、扣牌与信息表达,HEUR,TRACK-HEURISTIC,T19-H09,W14,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-015|HEUR-016,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-020,有界记忆衰减与强化,HEUR,TRACK-HEURISTIC,T19-H03,W10,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-005|STATE-006,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-021,有限推演与满意停止,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|ALGO-007|HEUR-019,ALGO-006|ALGO-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-022,人格、水平与情绪状态消费,HEUR,TRACK-HEURISTIC,T19-H03,W10,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-006|STATE-010,STATE-006,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
HEUR-023,有界近似选择与人类失误,HEUR,TRACK-HEURISTIC,T19-H06,W13,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|ALGO-007|ALGO-008|HEUR-022,ALGO-006|ALGO-007|ALGO-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
MODEL-001,逐对手归一化方向/牌型假设,MODEL,TRACK-EXTERNAL-DATA,T19-X01,W11,Terminal 3,INTEGRATED,PATH-EXTERNAL-DATA,ALGO-003|HEUR-020|STATE-005,ALGO-003|HEUR-020,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
MODEL-002,逐对手听牌/等待/损失风险模型,MODEL,TRACK-MODEL,T19-M01,W12,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-003|ALGO-004|MODEL-001,ALGO-003|ALGO-004,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
MODEL-003,仅公开信息的跨局对手画像学习,MODEL,TRACK-MODEL,T19-M01,W12,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,HEUR-020|RULE-016|STATE-008,HEUR-020|STATE-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
MODEL-004,可训练策略输入输出契约,MODEL,TRACK-MODEL,T19-M02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-002|TRAIN-003,TRAIN-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
MODEL-005,训练模型产物版本、冻结和评估生命周期,MODEL,TRACK-MODEL,T19-M03,W13,Terminal 1,PARTIAL,PATH-EXTERNAL-DATA,AUDIT-011|MODEL-004|TRAIN-008,AUDIT-011|TRAIN-008,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-001,规则、参数、不变量与合法性裁决优先级,RULE,TRACK-DETERMINISTIC,T19-D01,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-009|STATE-002|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-002,换三张同花色、方向与提交合法性,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-004,定缺、死叫与胡牌资格约束,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-005,座位、庄家与活动顺序,RULE,TRACK-DETERMINISTIC,T19-D01,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-006,摸牌、可选响应与出牌标准顺序,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-004|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-007,碰牌资格、执行与后续出牌,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-008,明杠、暗杠与补杠资格及执行,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-009,补杠抢杠胡窗口与解析,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-008|RULE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-010,自摸、点炮与抢杠胡资格,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-001|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-011,过胡设置、持续与恢复,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-012,强制胡与最后阶段必胡,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-013,多人响应确定性优先级,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|RULE-007|RULE-009|RULE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-014,血战胡后退出、继续与终止,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-005|RULE-010|STATE-004,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
RULE-015,启用番型、互斥/叠加与封顶规则,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
SCORE-002,自摸、点炮与抢杠胡计分,SCORE,TRACK-DETERMINISTIC,T19-D07,W06,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|RULE-015|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
SCORE-003,明/暗/补杠与呼叫转移计分,SCORE,TRACK-DETERMINISTIC,T19-D07,W06,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-008|RULE-009|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
SCORE-004,花猪、查大叫与退税终局调整,SCORE,TRACK-DETERMINISTIC,T19-D08,W07,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-004|RULE-015|SCORE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
SCORE-005,封顶、互斥和转移结算顺序,SCORE,TRACK-DETERMINISTIC,T19-D08,W07,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-015|SCORE-002|SCORE-003|SCORE-004,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
SCORE-006,单局总分、整场累计与排名,SCORE,TRACK-DETERMINISTIC,T19-D09,W08,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-001|SCORE-005|STATE-001,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
STATE-002,权威 RoundState 存储与授权访问,STATE,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-004|STATE-011,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,1,True,NONE
STATE-003,PlayerRoundState 手牌、副露、定缺与过胡状态,STATE,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-002,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,1,True,NONE
STATE-006,策略侧认知运行态初始化与归档,STATE,TRACK-DETERMINISTIC,T19-D13,W09,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-001|STATE-005|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
STATE-007,存档 schema 持久化与迁移,STATE,TRACK-DETERMINISTIC,T19-D14,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-009|STATE-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
STATE-008,跨局比分、认知和 episode 状态继承,STATE,TRACK-DETERMINISTIC,T19-D13,W09,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-006|STATE-001|STATE-006,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
STATE-009,决策请求上下文与生命周期,STATE,TRACK-DETERMINISTIC,T19-D03,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-004|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
STATE-012,策略超时、崩溃与合法默认动作回退,STATE,TRACK-DETERMINISTIC,T19-D14,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-006|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-001,复用生产规则的训练包装,TRAIN,TRACK-TRAINING,T19-T01,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-001|STATE-004,RULE-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-002,Observation v2 编码,TRAIN,TRACK-TRAINING,T19-T01,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-010|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-004,非法训练动作处理契约,TRAIN,TRACK-TRAINING,T19-T02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-005,真实得分与可见势能奖励契约,TRAIN,TRACK-TRAINING,T19-T02,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,SCORE-001|TRAIN-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-006,单 learner reset/step/mask/clone/restore,TRAIN,TRACK-TRAINING,T19-T03,W05,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,TRAIN-001|TRAIN-002|TRAIN-003|TRAIN-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-007,多玩家 ActionMap 与自博弈调度,TRAIN,TRACK-TRAINING,T19-T04,W06,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-013|TRAIN-006,RULE-013,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-008,离线 BC 与回放 RL 数据消费,TRAIN,TRACK-EXTERNAL-DATA,T19-X02,W12,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-014|TRAIN-002|TRAIN-003,AUDIT-014,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
TRAIN-009,房规、profile 与行为域随机化,TRAIN,TRACK-TRAINING,T19-T03,W05,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-011|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
